movie,rank,gross,release,season
The Twilight Saga: Breaking Dawn - Part 1,3,281287133.0,2011-11-18,4.0
The Hangover Part II,4,254464305.0,2011-05-26,2.0
Pirates of the Caribbean: On Stranger Tides,5,237710309.0,2011-05-20,2.0
The Avengers,1,623357910.0,2012-05-04,2.0
The Dark Knight Rises,2,448139099.0,2012-07-20,3.0
The Hunger Games,3,408010692.0,2012-03-23,1.0
Skyfall,4,304164760.0,2012-11-09,4.0
The Twilight Saga: Breaking Dawn - Part 2,5,292324737.0,2012-11-16,4.0
Iron Man 3,1,406609688.0,2013-05-03,2.0
The Hunger Games: Catching Fire,2,424668047.0,2013-11-22,4.0
Despicable Me 2,3,368065385.0,2013-07-03,3.0
Man of Steel,4,291045518.0,2013-06-14,2.0
Monsters University,5,268492764.0,2013-06-21,2.0
Guardians of the Galaxy,1,333176600.0,2014-08-01,3.0
The Hunger Games: Mockingjay - Part 1,2,337135885.0,2014-11-21,4.0
The Lego Movie,3,257760692.0,2014-02-07,1.0
Captain America: The Winter Soldier,4,255447104.0,2014-04-04,2.0
Transformers: Age of Extinction,5,245439076.0,2014-06-27,2.0
Jurassic World,1,652270625.0,2015-06-12,2.0
Star Wars: Episode VII - The Force Awakens,2,936660090.0,2015-12-18,4.0
Avengers: Age of Ultron,3,459005868.0,2015-05-01,2.0
Inside Out,4,356461711.0,2015-06-19,2.0
Furious 7,5,353007020.0,2015-04-03,2.0
Finding Dory,1,486295561.0,2016-06-17,2.0
Rogue One: A Star Wars Story,2,532177324.0,2016-12-16,4.0
Captain America: Civil War,3,408084349.0,2016-05-06,2.0
The Secret Life of Pets,4,368384330.0,2016-07-08,3.0
The Jungle Book,5,364001123.0,2016-04-15,2.0
Star Wars: Episode VIII - The Last Jedi,1,620181382.0,2017-12-15,4.0
Beauty and the Beast,2,504014165.0,2017-03-17,1.0
Wonder Woman,3,412563408.0,2017-06-02,2.0
Guardians of the Galaxy Vol. 2,4,389813101.0,2017-05-05,2.0
Spider-Man: Homecoming,5,334201140.0,2017-07-07,3.0
Black Panther,1,700059566.0,2018-02-16,1.0
Avengers: Infinity War,2,678815482.0,2018-04-27,2.0
The Incredibles 2,3,608581744.0,2018-06-15,2.0
Jurassic World: Fallen Kingdom,4,417719760.0,2018-06-22,2.0
Deadpool 2,5,318491426.0,2018-05-18,2.0
