,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
410,Q3 1999,1131.0,There's Something About Mary,Twentieth Century Fox,176484651.0,1999/7/15,1999/9/30,Q3,1999
402,Q3 1999,1020.0,The Sixth Sense,Walt Disney Studios Motion Pictures,293506292.0,1999/8/6,1999/9/30,Q3,1999
73,Q4 2000,1331.0,Cast Away,Twentieth Century Fox,233632142.0,2000/12/22,2000/12/31,Q4,2000
161,Q4 2000,1314.0,How the Grinch Stole Christmas,Universal Pictures,260044825.0,2000/11/17,2000/12/31,Q4,2000
126,Q2 2000,1316.0,Gladiator,DreamWorks Distribution,187705427.0,2000/5/5,2000/6/30,Q2,2000
440,Q4 2000,1327.0,What Women Want,Paramount Pictures,182811707.0,2000/12/15,2000/12/31,Q4,2000
226,Q2 2000,1315.0,Mission: Impossible II,Paramount Pictures,215409889.0,2000/5/24,2000/6/30,Q2,2000
373,Q4 2001,1624.0,The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,313364114.0,2001/12/19,2001/12/31,Q4,2001
286,Q2 2001,1618.0,Shrek,DreamWorks Distribution,267665011.0,2001/5/16,2001/6/30,Q2,2001
272,Q3 2001,1620.0,Rush Hour 2,New Line Cinema,226164286.0,2001/8/3,2001/9/30,Q3,2001
150,Q4 2001,1617.0,Harry Potter and the Sorcerer's Stone,Warner Bros.,317575550.0,2001/11/16,2001/12/31,Q4,2001
232,Q4 2001,1619.0,"Monsters, Inc.",Walt Disney Studios Motion Pictures,255284677.0,2001/11/2,2001/12/31,Q4,2001
237,Q2 2002,1948.0,My Big Fat Greek Wedding,IFC Films,240742368.0,2002/4/19,2002/6/30,Q2,2002
300,Q2 2002,1898.0,Spider-Man,Sony Pictures Releasing,403706375.0,2002/5/3,2002/6/30,Q2,2002
311,Q2 2002,1899.0,Star Wars: Episode II - Attack of the Clones,Twentieth Century Fox,302191252.0,2002/5/16,2002/6/30,Q2,2002
375,Q4 2002,1902.0,The Lord of the Rings: The Two Towers,New Line Cinema,339785181.0,2002/12/18,2002/12/31,Q4,2002
143,Q4 2002,1900.0,Harry Potter and the Chamber of Secrets,Warner Bros.,261988482.0,2002/11/15,2002/12/31,Q4,2002
64,Q2 2003,2353.0,Bruce Almighty,Universal Pictures,242829261.0,2003/5/23,2003/6/30,Q2,2003
114,Q2 2003,2349.0,Finding Nemo,Walt Disney Studios Motion Pictures,339714978.0,2003/5/30,2003/6/30,Q2,2003
380,Q2 2003,2351.0,The Matrix Reloaded,Warner Bros.,281576461.0,2003/5/15,2003/6/30,Q2,2003
374,Q4 2003,2352.0,The Lord of the Rings: The Return of the King,New Line Cinema,377027325.0,2003/12/17,2003/12/31,Q4,2003
255,Q3 2003,2350.0,Pirates of the Caribbean: The Curse of the Black Pearl,Walt Disney Studios Motion Pictures,305413918.0,2003/7/9,2003/9/30,Q3,2003
301,Q2 2004,2931.0,Spider-Man 2,Sony Pictures Releasing,373585825.0,2004/6/30,2004/6/30,Q2,2004
362,Q4 2004,2934.0,The Incredibles,Walt Disney Studios Motion Pictures,256887647.0,2004/11/5,2004/12/31,Q4,2004
213,Q4 2004,2942.0,Meet the Fockers,Universal Pictures,279261160.0,2004/12/22,2004/12/31,Q4,2004
287,Q2 2004,2930.0,Shrek 2,DreamWorks Distribution,441181022.0,2004/5/19,2004/6/30,Q2,2004
385,Q1 2004,2932.0,The Passion of the Christ,Newmarket Films,369895388.0,2004/2/25,2004/3/31,Q1,2004
436,Q2 2005,3532.0,War of the Worlds,Paramount Pictures,234280354.0,2005/6/29,2005/6/30,Q2,2005
193,Q4 2005,3539.0,King Kong,Universal Pictures,218080025.0,2005/12/14,2005/12/31,Q4,2005
146,Q4 2005,3531.0,Harry Potter and the Goblet of Fire,Warner Bros.,290013036.0,2005/11/18,2005/12/31,Q4,2005
