season,studio,gross
Q1 2000,Kino International,736812.0
Q1 2000,MacGillivray Freeman Films,87178599.0
Q1 2000,Miramax,43438003.0
Q1 2000,Monarch,1590.0
Q1 2000,New Line Cinema,74299184.0
Q1 2000,Paramount Pictures,94404246.0
Q1 2000,Phaedra Cinema,29245.0
Q1 2000,Seventh Art Releasing,50715.0
Q1 2000,Shooting Gallery,61236.0
Q1 2000,Sony Pictures Classics,849096.0
Q1 2000,Sony Pictures Releasing,44840274.0
Q1 2000,Strand Releasing,4224.0
Q1 2000,Trimark Pictures,264292.0
Q1 2000,Twentieth Century Fox,10522168.0
Q1 2000,USA Films,39511404.0
Q1 2000,Universal Pictures,163603790.0
Q1 2000,Walt Disney Studios Motion Pictures,194629287.0
Q1 2000,Warner Bros.,119150819.0
Q1 2001,Avatar Films,370562.0
Q1 2001,Castle Hill Productions,14725.0
Q1 2001,DreamWorks Distribution,66845033.0
Q1 2001,Eros International,57188.0
Q1 2001,Fine Line Features,77578.0
Q1 2001,Focus Features,687194.0
Q1 2001,IDP Distribution,40861.0
Q1 2001,IFC Films,373366.0
Q1 2001,IMAX,1785866.0
Q1 2001,Kino International,2487878.0
Q1 2001,Lionsgate,8335785.0
Q1 2001,Metro-Goldwyn-Mayer (MGM),205428875.0
Q1 2001,Miramax,112719001.0
Q1 2001,Newmarket Films,25544867.0
Q1 2001,Paramount Pictures,226038823.0
Q1 2001,Revolution Studios,11946739.0
Q1 2001,Screen Gems,27419939.0
Q1 2001,Social Media Productions,6123.0
Q1 2001,Sony Pictures Classics,323923.0
Q1 2001,Sony Pictures Releasing,73200939.0
Q1 2001,Strand Releasing,33842.0
Q1 2001,Twentieth Century Fox,27343067.0
Q1 2001,Universal Pictures,10424470.0
Q1 2001,Walt Disney Studios Motion Pictures,126453342.0
Q1 2001,Warner Bros.,152777747.0
Q1 2001,WinStar Cinema,362809.0
Q1 2002,Artisan Entertainment,4245870.0
Q1 2002,Christal Films,184441.0
Q1 2002,Cowboy Pictures,247589.0
Q1 2002,DreamWorks Distribution,56832494.0
Q1 2002,Empire Pictures Inc.,23371.0
Q1 2002,Fox Searchlight Pictures,25518084.0
Q1 2002,IDP Distribution,98452.0
Q1 2002,IMAX,1785866.0
Q1 2002,Kino International,135280.0
Q1 2002,Lionsgate,2106838.0
Q1 2002,Menemsha Films,1745778.0
Q1 2002,Metro-Goldwyn-Mayer (MGM),38068439.0
Q1 2002,Miramax,50394914.0
Q1 2002,New Line Cinema,180021440.0
Q1 2002,Outrider Pictures,344992.0
Q1 2002,Palm Pictures,289885.0
Q1 2002,Paramount Classics,299171.0
Q1 2002,Paramount Pictures,202688139.0
Q1 2002,Rialto Pictures,215446.0
Q1 2002,Screen Gems,75866079.0
Q1 2002,Sony Pictures Classics,2469420.0
Q1 2002,Sony Pictures Releasing,101683275.0
Q1 2002,THINKFilm,448542.0
Q1 2002,Twentieth Century Fox,192425367.0
Q1 2002,Universal Pictures,127121083.0
Q1 2002,Walt Disney Studios Motion Pictures,291559835.0
Q1 2002,Warner Bros.,158142552.0
Q1 2002,Wellspring Media,195760.0
Q1 2002,Zeitgeist Films,238260.0
Q1 2003,Artisan Entertainment,405331.0
Q1 2003,Artistic License,2199.0
Q1 2003,Balcony Releasing,8858.0
Q1 2003,Castle Hill Productions,3456.0
Q1 2003,Christal Films,250000.0
Q1 2003,Cinema Four,9446.0
Q1 2003,Cinema Tropical,29222.0
Q1 2003,Cowboy Pictures,261000.0
Q1 2003,DreamWorks Distribution,135643269.0
Q1 2003,Emerging Pictures,1440.0
Q1 2003,Eros International,406205.0
Q1 2003,Films Philos,182129.0
Q1 2003,First Look International,58156.0
Q1 2003,First Run,4756.0
Q1 2003,Focus Features,17547403.0
Q1 2003,Fox Searchlight Pictures,32536584.0
Q1 2003,IDP Distribution,2078661.0
Q1 2003,IFC Films,313917.0
Q1 2003,Indican Pictures,60000.0
Q1 2003,Kino International,319240.0
Q1 2003,Lionsgate,811971.0
Q1 2003,Metro-Goldwyn-Mayer (MGM),63483761.0
Q1 2003,Miracle Film Distribution,8018.0
Q1 2003,Miramax,20409562.0
Q1 2003,New Line Cinema,53847303.0
Q1 2003,New Yorker Films,247542.0
Q1 2003,Newmarket Films,187227.0
Q1 2003,Palm Pictures,23124.0
Q1 2003,Panorama Entertainment,1023156.0
Q1 2003,Paramount Classics,120601.0
Q1 2003,Paramount Pictures,171242477.0
Q1 2003,Revolution Studios,76286272.0
Q1 2003,Sony Pictures Classics,1149444.0
Q1 2003,Sony Pictures Releasing,63174497.0
Q1 2003,Strand Releasing,57241.0
Q1 2003,Tidepoint Pictures,4608.0
Q1 2003,Tips,352128.0
Q1 2003,Twentieth Century Fox,158629439.0
Q1 2003,United Artists,10263573.0
Q1 2003,Universal Pictures,23051104.0
Q1 2003,Walt Disney Studios Motion Pictures,310985230.0
Q1 2003,Warner Bros.,148245680.0
Q1 2003,Wellspring Media,162885.0
Q1 2003,Zeitgeist Films,6186622.0
Q1 2004,Alliance Atlantis Vivafilm,1911069.0
Q1 2004,ArtMattan Productions,52806.0
Q1 2004,Artistic License,113622.0
Q1 2004,Avatar Films,10888.0
Q1 2004,Christal Films,1352489.0
Q1 2004,Cinema Four,9791.0
Q1 2004,DreamWorks Distribution,34843349.0
Q1 2004,Emerging Pictures,254719.0
Q1 2004,Empire Pictures Inc.,91609.0
Q1 2004,Eros International,587877.0
Q1 2004,Film Movement,13000.0
Q1 2004,Films Philos,182129.0
Q1 2004,First Look International,257315.0
Q1 2004,First Run,148916.0
Q1 2004,Focus Features,34444005.0
Q1 2004,Fox Searchlight Pictures,13067898.0
Q1 2004,IDP Distribution,129560.0
Q1 2004,IFC Films,5841826.0
Q1 2004,ISA Releasing,43035.0
Q1 2004,Icarus Films,29345.0
Q1 2004,Indican Pictures,255160.0
Q1 2004,Kino International,570174.0
Q1 2004,Lantern Lane Entertainment,97362.0
Q1 2004,Leisure Time Features,3290.0
Q1 2004,Lionsgate,111165.0
Q1 2004,MAC Releasing,16201.0
Q1 2004,Magnolia Pictures,125358.0
Q1 2004,Metro-Goldwyn-Mayer (MGM),88741436.0
Q1 2004,Milestone,3733.0
Q1 2004,Miramax,47460767.0
Q1 2004,Mongrel Media,1608665.0
Q1 2004,New Line Cinema,49396348.0
Q1 2004,New Yorker Films,161254.0
Q1 2004,Newmarket Films,369895388.0
Q1 2004,Organic Pictures,2517.0
Q1 2004,Palm Pictures,65213.0
Q1 2004,Panorama Entertainment,1023156.0
Q1 2004,Paramount Classics,257252.0
Q1 2004,Paramount Pictures,41473791.0
Q1 2004,Rialto Pictures,820483.0
Q1 2004,SK Films,19062359.0
Q1 2004,Screen Gems,40363810.0
Q1 2004,Sony Pictures Classics,2354559.0
Q1 2004,Sony Pictures Releasing,168930974.0
Q1 2004,Sony Pictures Repertory,143121.0
Q1 2004,THINKFilm,352163.0
Q1 2004,Tag Entertainment,2462.0
Q1 2004,The Cinema Guild,71813.0
Q1 2004,Twentieth Century Fox,31116576.0
Q1 2004,United Artists,1270904.0
Q1 2004,Universal Pictures,147118121.0
Q1 2004,Vitagraph Films,6028.0
Q1 2004,Walt Disney Studios Motion Pictures,202875065.0
Q1 2004,Warner Bros.,271055353.0
Q1 2004,Wellspring Media,148959.0
Q1 2004,Zeitgeist Films,149211.0
Q1 2005,Arab Film Distribution,1479.0
Q1 2005,ArtMattan Productions,52806.0
Q1 2005,Castle Hill Productions,1718.0
Q1 2005,Cockeyed Caravan,12340.0
Q1 2005,DreamWorks Distribution,76231249.0
Q1 2005,Empire Pictures Inc.,36413.0
Q1 2005,Eros International,817076.0
Q1 2005,First Look International,48000.0
Q1 2005,Fox Searchlight Pictures,10375687.0
Q1 2005,Freestyle Releasing,304211.0
Q1 2005,Geneon Entertainment,79818.0
Q1 2005,HB Filmworks,3252.0
Q1 2005,High Cotton Films,11975.0
Q1 2005,IDP Distribution,2811378.0
Q1 2005,IFC Films,712275.0
Q1 2005,Indican Pictures,264856.0
Q1 2005,Kino International,258079.0
Q1 2005,Koch Lorber Films,22037.0
Q1 2005,Leisure Time Features,1870.0
Q1 2005,Lionsgate,55811668.0
Q1 2005,Lumiere Productions,1884.0
Q1 2005,Magnolia Pictures,2814161.0
Q1 2005,Menemsha Films,26676.0
Q1 2005,Metro-Goldwyn-Mayer (MGM),92540396.0
Q1 2005,Miramax,2704670.0
Q1 2005,New Line Cinema,27226115.0
Q1 2005,New Yorker Films,427310.0
Q1 2005,Newmarket Films,389401.0
Q1 2005,Palm Pictures,682475.0
Q1 2005,Paramount Classics,595071.0
Q1 2005,Paramount Pictures,67264877.0
Q1 2005,Regent Releasing,162494.0
Q1 2005,Revolution Studios,82674398.0
Q1 2005,Rialto Pictures,199034.0
Q1 2005,Rogue Pictures,16643000.0
Q1 2005,Romar Entertainment,3700.0
Q1 2005,SK Films,19062359.0
Q1 2005,Screen Gems,46752382.0
Q1 2005,Silver Plane Films,10629.0
Q1 2005,Sony Pictures Classics,409020.0
Q1 2005,Sony Pictures Releasing,268111149.0
Q1 2005,Strand Releasing,490620.0
Q1 2005,THINKFilm,209618.0
Q1 2005,TLA Releasing,11318.0
Q1 2005,Tartan,771100.0
Q1 2005,Triumph Releasing Corporation,468867.0
Q1 2005,Twentieth Century Fox,236315254.0
Q1 2005,Unico Entertainment,6470.0
Q1 2005,Universal Pictures,88805634.0
Q1 2005,Vitagraph Films,17508.0
Q1 2005,Walt Disney Studios Motion Pictures,157843796.0
Q1 2005,Warner Bros.,195810537.0
Q1 2005,Warner Independent Pictures (WIP),6303762.0
Q1 2005,Wellspring Media,238831.0
Q1 2005,Zeitgeist Films,506793.0
Q1 2006,Balcony Releasing,4314.0
Q1 2006,Castle Hill Productions,4546.0
Q1 2006,Cinema Libre Studio,25752.0
Q1 2006,City Lights Pictures,206871.0
Q1 2006,DreamWorks,33741133.0
Q1 2006,Emerging Pictures,4438.0
Q1 2006,Eros International,432675.0
Q1 2006,First Look International,8148.0
Q1 2006,First Run,27230.0
Q1 2006,Focus Features,11300274.0
Q1 2006,Fox Searchlight Pictures,68628046.0
Q1 2006,Freestyle Releasing,320671.0
Q1 2006,Frontier Films,4779.0
Q1 2006,IDP Distribution,508406.0
Q1 2006,IFC Films,439040.0
Q1 2006,Icarus Films,1124.0
Q1 2006,International Film Circuit,52193.0
Q1 2006,Kindred Media Group,129664.0
Q1 2006,Kino International,74305.0
Q1 2006,Koch Lorber Films,166750.0
Q1 2006,Lionsgate,126532136.0
Q1 2006,Magnolia Pictures,316160.0
Q1 2006,New Line Cinema,53145076.0
Q1 2006,New Yorker Films,38509.0
Q1 2006,Oilrag Productions,831.0
Q1 2006,Palm Pictures,58768.0
Q1 2006,Paramount Classics,2648453.0
Q1 2006,Paramount Pictures,127115153.0
Q1 2006,Picturehouse,1253413.0
Q1 2006,Regent Releasing,110755.0
Q1 2006,Revolution Studios,12512886.0
Q1 2006,Rialto Pictures,136064.0
Q1 2006,Rocky Mountain Pictures,2010.0
Q1 2006,Rogue Pictures,11350621.0
Q1 2006,SK Films,19062359.0
Q1 2006,Screen Gems,128714901.0
Q1 2006,Seventh Art Releasing,2214.0
Q1 2006,Shadow Distribution,3976890.0
Q1 2006,Silver Nitrate,242586.0
Q1 2006,Skylight Pictures,20055.0
Q1 2006,Slowhand Cinema Releasing,49236.0
Q1 2006,Sony Pictures Classics,2867156.0
Q1 2006,Sony Pictures Releasing,88197810.0
Q1 2006,Strand Releasing,18427.0
Q1 2006,THINKFilm,370249.0
Q1 2006,TLA Releasing,1967.0
Q1 2006,Tartan,70353.0
Q1 2006,The Weinstein Company,7417319.0
Q1 2006,Thread Cross Films,47243.0
Q1 2006,Tilapia Film,50426.0
Q1 2006,Triumph Releasing Corporation,463542.0
Q1 2006,Twentieth Century Fox,353308525.0
Q1 2006,UTV Motion Pictures,2490488.0
Q1 2006,Universal Pictures,201820815.0
Q1 2006,Walt Disney Studios Motion Pictures,226263890.0
Q1 2006,Warner Bros.,223731406.0
Q1 2006,Warner Independent Pictures (WIP),1036526.0
Q1 2006,Wellspring Media,138126.0
Q1 2006,Yari Film Group Releasing,951042.0
Q1 2006,Zeitgeist Films,680331.0
Q1 2007,518 Media,12702.0
Q1 2007,ABKCO Films,61001.0
Q1 2007,Adlabs Films,2131000.0
Q1 2007,Alliance Atlantis Vivafilm,2861978.0
Q1 2007,Anchor Bay Films,69136.0
Q1 2007,Argot Pictures,12185.0
Q1 2007,Cineville,8593.0
Q1 2007,Codeblack Entertainment,65797.0
Q1 2007,D Street Releasing,8340.0
Q1 2007,DreamWorks,214268155.0
Q1 2007,Eros International,4423088.0
Q1 2007,First Run,38517.0
Q1 2007,Fox Atomic,20774758.0
Q1 2007,Fox Searchlight Pictures,26049232.0
Q1 2007,IDP Distribution,418296.0
Q1 2007,IFC Films,481334.0
Q1 2007,Icarus Films,12327.0
Q1 2007,ImaginAsian Pictures,634438.0
Q1 2007,International Film Circuit,5661.0
Q1 2007,Janus Films,126415.0
Q1 2007,Kino International,6819.0
Q1 2007,Koch Lorber Films,85978.0
Q1 2007,Lionsgate,54013971.0
Q1 2007,Magnolia Pictures,410324.0
Q1 2007,Metro-Goldwyn-Mayer (MGM),3526847.0
Q1 2007,Milestone,404508.0
Q1 2007,Miramax,4234163.0
Q1 2007,New Line Cinema,7296922.0
Q1 2007,New Yorker Films,111113.0
Q1 2007,Newmarket Films,301447.0
Q1 2007,Outsider Pictures,1305.0
Q1 2007,Paramount Pictures,116689268.0
Q1 2007,Paramount Vantage,9396870.0
Q1 2007,Picturehouse,216839.0
Q1 2007,Radio London Films,6404.0
Q1 2007,Red Envelope Entertainment,3103.0
Q1 2007,Regent Releasing,4404.0
Q1 2007,Rialto Pictures,400019.0
Q1 2007,Rogue Pictures,16452977.0
Q1 2007,SK Films,19062359.0
Q1 2007,Screen Gems,96731054.0
Q1 2007,Shadow Distribution,563303.0
Q1 2007,Slowhand Cinema Releasing,149327.0
Q1 2007,Sony Pictures Classics,735966.0
Q1 2007,Sony Pictures Releasing,198792778.0
Q1 2007,Strand Releasing,128591.0
Q1 2007,THINKFilm,2061538.0
Q1 2007,TLA Releasing,220409.0
Q1 2007,The Bigger Picture,1164533.0
Q1 2007,The Documentary Group,6795.0
Q1 2007,The Weinstein Company,79123.0
Q1 2007,Tilapia Film,50426.0
Q1 2007,Twentieth Century Fox,60020652.0
Q1 2007,UTV Motion Pictures,24502.0
Q1 2007,Universal Pictures,143811668.0
Q1 2007,Walt Disney Studios Motion Pictures,369044066.0
Q1 2007,Warner Bros.,372743747.0
Q1 2007,Wildcat Releasing,105401.0
Q1 2007,Yari Film Group Releasing,286425.0
Q1 2008,ABKCO Films,61001.0
Q1 2008,Abramorama,31272.0
Q1 2008,Alliance Atlantis Vivafilm,1175610.0
Q1 2008,Anchor Bay Films,115879.0
Q1 2008,Balcony Releasing,11441.0
Q1 2008,Cinema Libre Studio,7885.0
Q1 2008,City Lights Pictures,807117.0
Q1 2008,Elephant Eye Films,40565.0
Q1 2008,Embrem Entertainment,72568.0
Q1 2008,Emerging Pictures,370846.0
Q1 2008,Engel Entertainment,7718.0
Q1 2008,Eros International,274589.0
Q1 2008,First Look International,16659.0
Q1 2008,First Run,79516.0
Q1 2008,Five & Two Pictures,84093.0
Q1 2008,Focus Features,20114518.0
Q1 2008,Freestyle Releasing,4775656.0
Q1 2008,Hannover House,42183.0
Q1 2008,IFC Films,1692956.0
Q1 2008,Indican Pictures,5202.0
Q1 2008,International Film Circuit,513582.0
Q1 2008,Kino International,118815.0
Q1 2008,Koch Lorber Films,125045.0
Q1 2008,Lantern Lane Entertainment,2119.0
Q1 2008,Lionsgate,150370475.0
Q1 2008,Magic Lamp,74421.0
Q1 2008,Magnolia Pictures,1507863.0
Q1 2008,Mandt Bros. Productions,11951.0
Q1 2008,Maya Entertainment,22000.0
Q1 2008,Metro-Goldwyn-Mayer (MGM),3951699.0
Q1 2008,Miramax,325131.0
Q1 2008,National Geographic Entertainment,10335294.0
Q1 2008,New Line Cinema,44654862.0
Q1 2008,New Yorker Films,108599.0
Q1 2008,Outsider Films,6700.0
Q1 2008,Overture Films,20839235.0
Q1 2008,Palm Pictures,63045.0
Q1 2008,Paramount Classics,6575282.0
Q1 2008,Paramount Pictures,195021334.0
Q1 2008,Paramount Vantage,7070641.0
Q1 2008,Picturehouse,6607156.0
Q1 2008,Regent Releasing,303328.0
Q1 2008,Rialto Pictures,312387.0
Q1 2008,Roadside Attractions,1580648.0
Q1 2008,Rogue Pictures,11008770.0
Q1 2008,Screen Gems,66619704.0
Q1 2008,Shadow Distribution,159294.0
Q1 2008,Slowhand Cinema Releasing,87939.0
Q1 2008,Sony Pictures Classics,1629581.0
Q1 2008,Sony Pictures Releasing,180240628.0
Q1 2008,Stone Five Studios,67665.0
Q1 2008,Strand Releasing,74554.0
Q1 2008,Summit Entertainment,34789920.0
Q1 2008,THINKFilm,556056.0
Q1 2008,The Bigger Picture,10479.0
Q1 2008,The Cinema Guild,218113.0
Q1 2008,The Film Desk,76259.0
Q1 2008,The Samuel Goldwyn Company,2165188.0
Q1 2008,The Weinstein Company,13563165.0
Q1 2008,Third Rail Releasing,964112.0
Q1 2008,Truly Indie,30606.0
Q1 2008,Twentieth Century Fox,375318458.0
Q1 2008,Typecast Releasing,89672.0
Q1 2008,UTV Motion Pictures,4807742.0
Q1 2008,Universal Pictures,87659435.0
Q1 2008,Vitagraph Films,58513.0
Q1 2008,Walt Disney Studios Motion Pictures,174208088.0
Q1 2008,Warner Bros.,238308761.0
Q1 2008,Warner Independent Pictures (WIP),1938253.0
Q1 2008,Yari Film Group Releasing,689.0
Q1 2009,3D Entertainment,7714996.0
Q1 2009,8x Entertainment,741557.0
Q1 2009,Abramorama,8030.0
Q1 2009,Adlabs Films,392613.0
Q1 2009,Anchor Bay Films,15078.0
Q1 2009,Argot Pictures,177365.0
Q1 2009,Balcony Releasing,18654.0
Q1 2009,Cinema Libre Studio,5925.0
Q1 2009,DreamWorks,371422815.0
Q1 2009,Embrem Entertainment,18480.0
Q1 2009,Eros International,754928.0
Q1 2009,First Run,73726.0
Q1 2009,Focus Features,77822894.0
Q1 2009,Fox Searchlight Pictures,41358969.0
Q1 2009,IFC Films,722551.0
Q1 2009,International Film Circuit,13282.0
Q1 2009,Koch Lorber Films,116320.0
Q1 2009,Liberation Entertainment,351059.0
Q1 2009,Lionsgate,214178087.0
Q1 2009,Magnolia Pictures,3991003.0
Q1 2009,Monterey Media,1870.0
Q1 2009,Music Box Films,534684.0
Q1 2009,National Geographic Entertainment,10335294.0
Q1 2009,Overture Films,12062558.0
Q1 2009,Palisades Tartan,60200.0
Q1 2009,Regent Releasing,349563.0
