season,Unnamed: 0,movie,studio,gross,release,time
Q1 1991,146,The Silence of the Lambs,Orion Pictures,130742922.0,1991-02-14,1991-03-31
Q1 1991,166,La Femme Nikita,The Samuel Goldwyn Company,5017971.0,1991-03-08,1991-03-31
Q1 1991,182,Ju Dou,Miramax,1986433.0,1991-03-06,1991-03-31
Q1 1991,183,The Unborn,Concorde Pictures,1159578.0,1991-03-29,1991-03-31
Q1 1991,209,The Comfort of Strangers,Skouras Pictures,1244381.0,1991-03-15,1991-03-31
Q1 1991,211,True Colors,Paramount Pictures,418807.0,1991-03-15,1991-03-31
Q1 1991,212,Iron & Silk,Miramax,356077.0,1991-02-15,1991-03-31
Q1 1991,214,Rosencrantz & Guildenstern Are Dead,Cinecom Pictures,739104.0,1991-02-08,1991-03-31
Q1 1991,215,Mister Johnson,Avenue Pictures Productions,1464242.0,1991-03-22,1991-03-31
Q1 1991,232,Open Doors,Orion Classics,123470.0,1991-03-08,1991-03-31
Q2 1991,148,Backdraft,Universal Pictures,77868585.0,1991-05-24,1991-06-30
Q2 1991,172,Robin Hood: Prince of Thieves,Warner Bros.,165493908.0,1991-06-14,1991-06-30
Q2 1991,175,Impromptu,Hemdale,4076211.0,1991-04-12,1991-06-30
Q2 1991,176,Everybody's Fine,Miramax,1745470.0,1991-05-31,1991-06-30
Q2 1991,178,Straight Out of Brooklyn,The Samuel Goldwyn Company,2712293.0,1991-05-22,1991-06-30
Q2 1991,180,Spartacus1991 Re-release,Universal Pictures,1830650.0,1991-04-26,1991-06-30
Q2 1991,181,Truly Madly Deeply,The Samuel Goldwyn Company,1554742.0,1991-05-03,1991-06-30
Q2 1991,194,Auntie Danielle,Miramax,604624.0,1991-05-17,1991-06-30
Q2 1991,206,Journey of Hope,Miramax,261718.0,1991-04-26,1991-06-30
Q2 1991,207,An Angel at My Table,Fine Line Features,1054638.0,1991-05-17,1991-06-30
Q2 1991,210,Bright Angel,Hemdale,158243.0,1991-06-14,1991-06-30
Q2 1991,217,Europa Europa,Orion Classics,5575738.0,1991-06-28,1991-06-30
Q2 1991,220,Daddy Nostalgia,Avenue Pictures Productions,1108429.0,1991-04-12,1991-06-30
Q2 1991,223,Dark Obsession,Circle Films,336811.0,1991-06-07,1991-06-30
Q3 1991,165,Goodfellas,Warner Bros.,46836214.0,1991-09-19,1991-09-30
Q3 1991,167,Ghost,Paramount Pictures,217631306.0,1991-07-13,1991-09-30
Q3 1991,173,My Own Private Idaho,Fine Line Features,6401336.0,1991-09-27,1991-09-30
Q3 1991,177,Paris Is Burning,Miramax,3779620.0,1991-08-09,1991-09-30
Q3 1991,187,Slacker,Orion Classics,1228108.0,1991-07-05,1991-09-30
Q3 1991,195,Dogfight,Warner Bros.,394631.0,1991-09-13,1991-09-30
Q3 1991,203,The Miracle,Miramax,835519.0,1991-07-03,1991-09-30
Q4 1991,147,The Addams Family,Paramount Pictures,113502426.0,1991-11-22,1991-12-31
Q4 1991,150,Beauty and the Beast,Walt Disney Studios Motion Pictures,145863363.0,1991-11-15,1991-12-31
Q4 1991,151,Kindergarten Cop,Universal Pictures,91457688.0,1991-12-22,1991-12-31
Q4 1991,152,The Godfather: Part III,Paramount Pictures,66666062.0,1991-12-25,1991-12-31
Q4 1991,153,Cape Fear,Universal Pictures,79091969.0,1991-11-15,1991-12-31
Q4 1991,154,Star Trek VI: The Undiscovered Country,Paramount Pictures,74888996.0,1991-12-06,1991-12-31
Q4 1991,155,My Girl,Columbia Pictures,59489799.0,1991-11-27,1991-12-31
Q4 1991,156,The Last Boy Scout,Warner Bros.,59509925.0,1991-12-13,1991-12-31
Q4 1991,157,Father of the Bride,Walt Disney Studios Motion Pictures,89325780.0,1991-12-20,1991-12-31
Q4 1991,158,JFK,Warner Bros.,70405498.0,1991-12-20,1991-12-31
Q4 1991,159,An American Tail: Fievel Goes West,Universal Pictures,22166041.0,1991-11-22,1991-12-31
Q4 1991,161,Home Alone,Twentieth Century Fox,285761243.0,1991-11-16,1991-12-31
Q4 1991,162,The Grifters,Miramax,13446769.0,1991-12-07,1991-12-31
Q4 1991,163,The Prince of Tides,Columbia Pictures,74787599.0,1991-12-27,1991-12-31
Q4 1991,164,Dances with Wolves,Orion Pictures,184208848.0,1991-11-09,1991-12-31
Q4 1991,168,The Long Walk Home,Miramax,4873620.0,1991-12-22,1991-12-31
Q4 1991,169,Mr. & Mrs. Bridge,Miramax,7698010.0,1991-11-23,1991-12-31
Q4 1991,170,Black Robe,The Samuel Goldwyn Company,8211952.0,1991-10-04,1991-12-31
Q4 1991,171,Awakenings,Columbia Pictures,52096475.0,1991-12-22,1991-12-31
Q4 1991,174,Eating,Rainbow Releasing,2100538.0,1991-11-16,1991-12-31
Q4 1991,179,The Man in the Moon,Metro-Goldwyn-Mayer (MGM),2853801.0,1991-10-04,1991-12-31
Q4 1991,184,The Nasty Girl,Miramax,2281569.0,1991-10-26,1991-12-31
Q4 1991,185,Vincent & Theo,Hemdale,2231274.0,1991-11-02,1991-12-31
Q4 1991,186,City of Hope,The Samuel Goldwyn Company,1345015.0,1991-10-11,1991-12-31
Q4 1991,189,Hidden Agenda,Hemdale,1030938.0,1991-11-21,1991-12-31
Q4 1991,190,Two Evil Eyes,Taurus Entertainment Company,349618.0,1991-10-25,1991-12-31
Q4 1991,191,The Rapture,Fine Line Features,1277404.0,1991-10-04,1991-12-31
Q4 1991,192,High Heels,Miramax,1710057.0,1991-12-20,1991-12-31
Q4 1991,193,The Field,Avenue Pictures Productions,1494399.0,1991-12-22,1991-12-31
Q4 1991,197,Rush,Metro-Goldwyn-Mayer (MGM),7241350.0,1991-12-20,1991-12-31
Q4 1991,198,Madame Bovary,The Samuel Goldwyn Company,1942423.0,1991-12-27,1991-12-31
Q4 1991,199,Come See the Paradise,Twentieth Century Fox,947306.0,1991-12-25,1991-12-31
Q4 1991,200,Meeting Venus,Warner Bros.,1000348.0,1991-11-15,1991-12-31
Q4 1991,201,The Double Life of Véronique,Miramax,1999955.0,1991-11-22,1991-12-31
Q4 1991,202,At Play in the Fields of the Lord,Universal Pictures,1345903.0,1991-12-06,1991-12-31
Q4 1991,204,Young Soul Rebels,Miramax,225664.0,1991-11-20,1991-12-31
Q4 1991,205,The National Film Board of Canada's Animation Festival,Expanded Entertainment,249167.0,1991-12-26,1991-12-31
