season,Unnamed: 0,movie,studio,gross,release,time
Q1 1992,252,Howards End,Sony Pictures Classics,25966555.0,1992-03-13,1992-03-31
Q1 1992,260,Wayne's World,Paramount Pictures,121697323.0,1992-02-14,1992-03-31
Q1 1992,272,Raise the Red Lantern,Orion Classics,2603061.0,1992-03-13,1992-03-31
Q1 1992,280,Where Angels Fear to Tread,Fine Line Features,1403033.0,1992-02-28,1992-03-31
Q1 1992,284,35 Up,The Samuel Goldwyn Company,922872.0,1992-01-15,1992-03-31
Q1 1992,287,Edward II,Fine Line Features,694438.0,1992-03-20,1992-03-31
Q1 1992,294,Terminal Bliss,Cannon Film Distributors,215500.0,1992-03-06,1992-03-31
Q1 1992,300,American Dream,Miramax,269823.0,1992-03-18,1992-03-31
Q1 1992,306,Proof,Fine Line Features,524668.0,1992-03-20,1992-03-31
Q1 1992,310,Under Suspicion,Columbia Pictures,221295.0,1992-02-28,1992-03-31
Q1 1992,314,Bloodfist III: Forced to Fight,Concorde Pictures,35154.0,1992-01-03,1992-03-31
Q2 1992,236,Batman Returns,Warner Bros.,162831698.0,1992-06-19,1992-06-30
Q2 1992,241,Far and Away,Universal Pictures,58883840.0,1992-05-22,1992-06-30
Q2 1992,242,Alien³,Twentieth Century Fox,55473545.0,1992-05-22,1992-06-30
Q2 1992,255,Beethoven,Universal Pictures,57114049.0,1992-04-03,1992-06-30
Q2 1992,258,The Player,New Line Cinema,21706101.0,1992-04-10,1992-06-30
Q2 1992,267,HouseSitter,Universal Pictures,58500635.0,1992-06-12,1992-06-30
Q2 1992,271,Night on Earth,Fine Line Features,2015810.0,1992-05-01,1992-06-30
Q2 1992,273,Europa Europa,Orion Classics,5575738.0,1992-06-28,1992-06-30
Q2 1992,277,Delicatessen,Miramax,1794187.0,1992-04-03,1992-06-30
Q2 1992,289,Incident at Oglala,Miramax,536848.0,1992-05-08,1992-06-30
Q2 1992,290,The Waterdance,The Samuel Goldwyn Company,1723319.0,1992-05-15,1992-06-30
Q2 1992,295,Cabeza de Vaca,Concorde Pictures,789127.0,1992-05-15,1992-06-30
Q2 1992,308,The Adjuster,Orion Classics,396573.0,1992-05-29,1992-06-30
Q2 1992,312,One False Move,IRS Media,1543112.0,1992-05-08,1992-06-30
Q2 1992,320,The Vagrant,Metro-Goldwyn-Mayer (MGM),5900.0,1992-05-15,1992-06-30
Q2 1992,321,Who Shot Pat?,Castle Hill Productions,2343.0,1992-05-01,1992-06-30
Q3 1992,239,Unforgiven,Warner Bros.,101157447.0,1992-08-07,1992-09-30
Q3 1992,261,"Honey, I Blew Up the Kid",Walt Disney Studios Motion Pictures,58662452.0,1992-07-17,1992-09-30
Q3 1992,281,Mistress,Rainbow Releasing,1102469.0,1992-08-07,1992-09-30
Q3 1992,283,A Brief History of Time,Triton Pictures,2279692.0,1992-08-21,1992-09-30
Q3 1992,291,Light Sleeper,Fine Line Features,1050861.0,1992-08-21,1992-09-30
Q3 1992,298,The Panama Deception,Empowerment Project,309596.0,1992-07-31,1992-09-30
Q3 1992,299,The Best Intentions,The Samuel Goldwyn Company,1253106.0,1992-07-10,1992-09-30
Q3 1992,302,The Living End,October Films,692585.0,1992-08-14,1992-09-30
Q3 1992,316,Bed & Breakfast,Hemdale,44947.0,1992-08-07,1992-09-30
Q3 1992,317,London Kills Me,Fine Line Features,170667.0,1992-08-07,1992-09-30
Q4 1992,235,Home Alone 2: Lost in New York,Twentieth Century Fox,173585516.0,1992-11-20,1992-12-31
Q4 1992,238,The Bodyguard,Warner Bros.,121945720.0,1992-11-25,1992-12-31
Q4 1992,240,A Few Good Men,Columbia Pictures,141340178.0,1992-12-11,1992-12-31
Q4 1992,244,Malcolm X,Warner Bros.,48169910.0,1992-11-20,1992-12-31
Q4 1992,245,The Distinguished Gentleman,Walt Disney Studios Motion Pictures,46666502.0,1992-12-04,1992-12-31
Q4 1992,246,A River Runs Through It,Columbia Pictures,43440294.0,1992-10-09,1992-12-31
Q4 1992,247,Forever Young,Warner Bros.,55956187.0,1992-12-18,1992-12-31
Q4 1992,248,The Muppet Christmas Carol,Walt Disney Studios Motion Pictures,27281507.0,1992-12-11,1992-12-31
Q4 1992,249,Toys,Twentieth Century Fox,23278931.0,1992-12-18,1992-12-31
Q4 1992,250,Leap of Faith,Paramount Pictures,23369283.0,1992-12-18,1992-12-31
Q4 1992,251,Beauty and the Beast,Walt Disney Studios Motion Pictures,145863363.0,1992-11-15,1992-12-31
Q4 1992,254,Trespass,Universal Pictures,13249535.0,1992-12-25,1992-12-31
Q4 1992,256,Fried Green Tomatoes,Universal Pictures,82418501.0,1992-12-27,1992-12-31
Q4 1992,257,The Addams Family,Paramount Pictures,113502426.0,1992-11-22,1992-12-31
Q4 1992,259,The Prince of Tides,Columbia Pictures,74787599.0,1992-12-27,1992-12-31
Q4 1992,262,The Crying Game,Miramax,62548947.0,1992-11-27,1992-12-31
Q4 1992,263,Pure Country,Warner Bros.,15164458.0,1992-10-23,1992-12-31
Q4 1992,264,JFK,Warner Bros.,70405498.0,1992-12-20,1992-12-31
Q4 1992,265,Hoffa,Twentieth Century Fox,24276506.0,1992-12-25,1992-12-31
Q4 1992,266,Hear My Song,Miramax,4313473.0,1992-12-27,1992-12-31
Q4 1992,268,The Lover,Metro-Goldwyn-Mayer (MGM),4899194.0,1992-10-30,1992-12-31
Q4 1992,269,The Double Life of Véronique,Miramax,1999955.0,1992-11-22,1992-12-31
Q4 1992,270,Scent of a Woman,Universal Pictures,63095253.0,1992-12-23,1992-12-31
Q4 1992,274,Kafka,Miramax,1059071.0,1992-12-04,1992-12-31
Q4 1992,275,Peter's Friends,The Samuel Goldwyn Company,4058564.0,1992-12-25,1992-12-31
Q4 1992,276,Used People,Twentieth Century Fox,17957265.0,1992-12-18,1992-12-31
Q4 1992,278,Rhapsody in August,Orion Classics,516431.0,1992-12-19,1992-12-31
Q4 1992,279,Naked Lunch,Twentieth Century Fox,2641357.0,1992-12-27,1992-12-31
Q4 1992,282,Hearts of Darkness: A Filmmaker's Apocalypse,Triton Pictures,1318449.0,1992-11-27,1992-12-31
Q4 1992,285,Mindwalk,Triton Pictures,774048.0,1992-10-11,1992-12-31
Q4 1992,286,At Play in the Fields of the Lord,Universal Pictures,1345903.0,1992-12-06,1992-12-31
