season,Unnamed: 0,movie,studio,gross,release,time
Q1 2012,7856,The Hunger Games,Lionsgate,408010692.0,2012-03-23,2012-03-31
Q1 2012,7864,The Lorax,Universal Pictures,214030500.0,2012-03-02,2012-03-31
Q1 2012,7871,21 Jump Street,Sony Pictures Releasing,138447667.0,2012-03-16,2012-03-31
Q1 2012,7874,Safe House,Universal Pictures,126373434.0,2012-02-10,2012-03-31
Q1 2012,7875,The Vow,Screen Gems,125014030.0,2012-02-10,2012-03-31
Q1 2012,7879,Journey 2: The Mysterious Island,Warner Bros.,103860290.0,2012-02-10,2012-03-31
Q1 2012,7887,Wrath of the Titans,Warner Bros.,83670083.0,2012-03-30,2012-03-31
Q1 2012,7890,Act of Valor,Relativity Media,70012847.0,2012-02-24,2012-03-31
Q1 2012,7891,John Carter,Walt Disney Studios Motion Pictures,68864278.0,2012-03-09,2012-03-31
Q1 2012,7893,Contraband,Universal Pictures,66528000.0,2012-01-13,2012-03-31
Q1 2012,7897,Mirror Mirror,Relativity Media,64935167.0,2012-03-30,2012-03-31
Q1 2012,7898,Chronicle,Twentieth Century Fox,64575175.0,2012-02-03,2012-03-31
Q1 2012,7902,Underworld Awakening,Screen Gems,62321039.0,2012-01-20,2012-03-31
Q1 2012,7909,This Means War,Twentieth Century Fox,54760791.0,2012-02-17,2012-03-31
Q1 2012,7910,Project X,Warner Bros.,54731865.0,2012-03-02,2012-03-31
Q1 2012,7911,The Woman in Black,CBS Films,54333290.0,2012-02-03,2012-03-31
Q1 2012,7913,The Devil Inside,Paramount Pictures,53261944.0,2012-01-06,2012-03-31
Q1 2012,7915,The Grey,Open Road Films (II),51580236.0,2012-01-27,2012-03-31
Q1 2012,7916,Ghost Rider: Spirit of Vengeance,Sony Pictures Releasing,51774002.0,2012-02-17,2012-03-31
Q1 2012,7918,Red Tails,Twentieth Century Fox,49876377.0,2012-01-20,2012-03-31
Q1 2012,7924,Beauty and the Beast2012 3D Release,Walt Disney Studios Motion Pictures,47173729.0,2012-01-13,2012-03-31
Q1 2012,7932,Star Wars: Episode I - The Phantom Menace2012 3D Release,Twentieth Century Fox,43456382.0,2012-02-10,2012-03-31
Q1 2012,7949,Good Deeds,Lionsgate,35025791.0,2012-02-24,2012-03-31
Q1 2012,7955,Joyful Noise,Warner Bros.,30932113.0,2012-01-13,2012-03-31
Q1 2012,7962,One for the Money,Lionsgate,26414527.0,2012-01-27,2012-03-31
Q1 2012,7969,Big Miracle,Universal Pictures,20157300.0,2012-02-03,2012-03-31
Q1 2012,7972,Haywire,Relativity Media,18942396.0,2012-01-20,2012-03-31
Q1 2012,7973,Man on a Ledge,Lionsgate,18620000.0,2012-01-27,2012-03-31
Q1 2012,7974,A Thousand Words2012 Re-release,DreamWorks,18450127.0,2012-03-09,2012-03-31
Q1 2012,7976,The Secret World of Arrietty,Walt Disney Studios Motion Pictures,17777936.0,2012-02-17,2012-03-31
Q1 2012,7978,Wanderlust,Universal Pictures,17450535.0,2012-02-24,2012-03-31
Q1 2012,7990,Silent House,Open Road Films (II),12754783.0,2012-03-09,2012-03-31
Q1 2012,7992,Gone,Lionsgate,11682205.0,2012-02-24,2012-03-31
Q1 2012,8002,Salmon Fishing in the Yemen,CBS Films,9047981.0,2012-03-09,2012-03-31
Q1 2012,8006,Friends with Kids,Roadside Attractions,7251073.0,2012-03-09,2012-03-31
