season,Unnamed: 0,movie,studio,gross,release,time
Q1 1993,329,Groundhog Day,Columbia Pictures,70906973.0,1993-02-12,1993-03-31
Q1 1993,348,Howards End,Sony Pictures Classics,25966555.0,1993-03-13,1993-03-31
Q1 1993,351,Strictly Ballroom,Miramax,11738022.0,1993-02-12,1993-03-31
Q1 1993,359,Falling Down,Warner Bros.,40903593.0,1993-02-26,1993-03-31
Q1 1993,368,The Opposite Sex and How to Live with Them,Miramax,690966.0,1993-03-26,1993-03-31
Q1 1993,371,The Stolen Children,The Samuel Goldwyn Company,931280.0,1993-03-03,1993-03-31
Q1 1993,382,Visions of Light,Kino International,799856.0,1993-02-24,1993-03-31
Q1 1993,383,Man Bites Dog,Roxie Releasing,205569.0,1993-01-15,1993-03-31
Q1 1993,388,Dead Alive,Trimark Pictures,242623.0,1993-02-12,1993-03-31
Q1 1993,395,Mac,The Samuel Goldwyn Company,39437.0,1993-02-19,1993-03-31
Q1 1993,401,To Want to Fly,Fine Line Features,78144.0,1993-02-03,1993-03-31
Q1 1993,406,When the Party's Over,Strand Releasing,3514.0,1993-03-12,1993-03-31
Q1 1993,407,Motorama,Two Moon Releasing,10535.0,1993-01-13,1993-03-31
Q2 1993,323,Jurassic Park,Universal Pictures,357067947.0,1993-06-11,1993-06-30
Q2 1993,331,Last Action Hero,Columbia Pictures,50016394.0,1993-06-18,1993-06-30
Q2 1993,361,Orlando,Sony Pictures Classics,5319445.0,1993-06-09,1993-06-30
Q2 1993,363,The Story of Qiu Ju,Sony Pictures Classics,1890247.0,1993-04-16,1993-06-30
Q2 1993,373,Sex Is...,Outsider Films,530833.0,1993-05-07,1993-06-30
Q2 1993,384,Equinox,IRS Media,279627.0,1993-06-11,1993-06-30
Q2 1993,385,The Music of Chance,IRS Media,313967.0,1993-06-04,1993-06-30
Q2 1993,386,No Place to Hide,Cannon Film Distributors,135004.0,1993-04-16,1993-06-30
Q2 1993,394,Romper Stomper,Academy Entertainment,175340.0,1993-06-09,1993-06-30
Q2 1993,408,American Friends,Castle Hill Productions,23034.0,1993-04-09,1993-06-30
Q3 1993,324,The Fugitive,Warner Bros.,183403565.0,1993-08-06,1993-09-30
Q3 1993,326,In the Line of Fire,Columbia Pictures,102314823.0,1993-07-09,1993-09-30
Q3 1993,339,Unforgiven,Warner Bros.,101157447.0,1993-08-07,1993-09-30
Q3 1993,350,Free Willy,Warner Bros.,77698625.0,1993-07-16,1993-09-30
Q3 1993,353,Rookie of the Year,Twentieth Century Fox,53615089.0,1993-07-09,1993-09-30
Q3 1993,355,Hocus Pocus,Walt Disney Studios Motion Pictures,39514713.0,1993-07-16,1993-09-30
Q3 1993,356,The Wedding Banquet,The Samuel Goldwyn Company,6933459.0,1993-08-06,1993-09-30
Q3 1993,364,Baraka,The Samuel Goldwyn Company,1254237.0,1993-09-24,1993-09-30
Q3 1993,369,Searching for Bobby Fischer,Paramount Pictures,7266383.0,1993-08-13,1993-09-30
Q3 1993,378,Road Scholar,The Samuel Goldwyn Company,597564.0,1993-07-16,1993-09-30
Q3 1993,380,The Ballad of Little Jo,Fine Line Features,543091.0,1993-08-20,1993-09-30
Q3 1993,400,Crush,Strand Releasing,107792.0,1993-08-27,1993-09-30
Q3 1993,404,Twist,Triton Pictures,36875.0,1993-07-16,1993-09-30
Q3 1993,405,By the Sword,Hansen Entertainment,6220.0,1993-09-24,1993-09-30
Q4 1993,325,Mrs. Doubtfire,Twentieth Century Fox,219195243.0,1993-11-24,1993-12-31
Q4 1993,328,A Few Good Men,Columbia Pictures,141340178.0,1993-12-11,1993-12-31
Q4 1993,330,Scent of a Woman,Universal Pictures,63095253.0,1993-12-23,1993-12-31
Q4 1993,332,Cool Runnings,Walt Disney Studios Motion Pictures,68856263.0,1993-10-01,1993-12-31
Q4 1993,333,The Pelican Brief,Warner Bros.,100768056.0,1993-12-17,1993-12-31
Q4 1993,334,The Three Musketeers,Walt Disney Studios Motion Pictures,53898845.0,1993-11-12,1993-12-31
Q4 1993,335,Addams Family Values,Paramount Pictures,48919043.0,1993-11-19,1993-12-31
Q4 1993,336,Wayne's World 2,Paramount Pictures,48197805.0,1993-12-10,1993-12-31
Q4 1993,337,Sister Act 2: Back in the Habit,Walt Disney Studios Motion Pictures,57319029.0,1993-12-10,1993-12-31
Q4 1993,338,A Perfect World,Warner Bros.,31130999.0,1993-11-24,1993-12-31
Q4 1993,340,Beethoven's 2nd,Universal Pictures,53443066.0,1993-12-17,1993-12-31
Q4 1993,341,Hoffa,Twentieth Century Fox,24276506.0,1993-12-25,1993-12-31
Q4 1993,342,The Piano,Miramax,40157856.0,1993-11-12,1993-12-31
Q4 1993,343,Tombstone,Walt Disney Studios Motion Pictures,56505065.0,1993-12-24,1993-12-31
Q4 1993,344,The Remains of the Day,Columbia Pictures,23237911.0,1993-11-05,1993-12-31
Q4 1993,345,Geronimo: An American Legend,Columbia Pictures,18635620.0,1993-12-10,1993-12-31
Q4 1993,346,Grumpy Old Men,Warner Bros.,70172621.0,1993-12-25,1993-12-31
Q4 1993,347,A River Runs Through It,Columbia Pictures,43440294.0,1993-10-09,1993-12-31
Q4 1993,349,Trespass,Universal Pictures,13249535.0,1993-12-25,1993-12-31
Q4 1993,352,Schindler's List,Universal Pictures,96065768.0,1993-12-15,1993-12-31
Q4 1993,354,Batman: Mask of the Phantasm,Warner Bros.,5617391.0,1993-12-25,1993-12-31
Q4 1993,357,The Bodyguard,Warner Bros.,121945720.0,1993-11-25,1993-12-31
Q4 1993,358,Passion Fish,Miramax,4814619.0,1993-12-09,1993-12-31
Q4 1993,360,The Lover,Metro-Goldwyn-Mayer (MGM),4899194.0,1993-10-30,1993-12-31
Q4 1993,362,Tous les matins du monde,October Films,3089497.0,1993-11-13,1993-12-31
Q4 1993,365,Peter's Friends,The Samuel Goldwyn Company,4058564.0,1993-12-25,1993-12-31
Q4 1993,366,Heaven & Earth,Warner Bros.,5864949.0,1993-12-25,1993-12-31
Q4 1993,367,Flirting,The Samuel Goldwyn Company,2415396.0,1993-11-06,1993-12-31
Q4 1993,370,Six Degrees of Separation,Metro-Goldwyn-Mayer (MGM),6405918.0,1993-12-10,1993-12-31
Q4 1993,372,Ruby in Paradise,October Films,1001437.0,1993-10-08,1993-12-31
Q4 1993,376,Screen Two: The Clothes in the Wardrobe,The Samuel Goldwyn Company,2106846.0,1993-12-21,1993-12-31
Q4 1993,379,What's Eating Gilbert Grape,Paramount Pictures,10032765.0,1993-12-17,1993-12-31
