season,Unnamed: 0,movie,studio,gross,release,time
Q1 2003,2360,Bringing Down the House,Walt Disney Studios Motion Pictures,132716677.0,2003-03-07,2003-03-31
Q1 2003,2367,How to Lose a Guy in 10 Days,Paramount Pictures,105811484.0,2003-02-07,2003-03-31
Q1 2003,2370,Daredevil,Twentieth Century Fox,102526374.0,2003-02-14,2003-03-31
Q1 2003,2379,Old School,DreamWorks Distribution,75585093.0,2003-02-21,2003-03-31
Q1 2003,2381,Kangaroo Jack,Warner Bros.,66934963.0,2003-01-17,2003-03-31
Q1 2003,2386,Shanghai Knights,Walt Disney Studios Motion Pictures,58697430.0,2003-02-07,2003-03-31
Q1 2003,2391,Just Married,Twentieth Century Fox,56103065.0,2003-01-10,2003-03-31
Q1 2003,2395,The Recruit,Walt Disney Studios Motion Pictures,51751426.0,2003-01-31,2003-03-31
Q1 2003,2399,Agent Cody Banks,Metro-Goldwyn-Mayer (MGM),47938330.0,2003-03-14,2003-03-31
Q1 2003,2402,The Jungle Book 2,Walt Disney Studios Motion Pictures,46373944.0,2003-02-14,2003-03-31
Q1 2003,2404,Tears of the Sun,Revolution Studios,43734876.0,2003-03-07,2003-03-31
Q1 2003,2412,Head of State,DreamWorks Distribution,37981404.0,2003-03-28,2003-03-31
Q1 2003,2417,National Security,Sony Pictures Releasing,36381186.0,2003-01-17,2003-03-31
Q1 2003,2420,Cradle 2 the Grave,Warner Bros.,34712347.0,2003-02-28,2003-03-31
Q1 2003,2422,The Hunted,Paramount Pictures,34244097.0,2003-03-14,2003-03-31
Q1 2003,2423,Dreamcatcher,Warner Bros.,33715436.0,2003-03-21,2003-03-31
Q1 2003,2424,Bend It Like Beckham,Fox Searchlight Pictures,32536584.0,2003-03-12,2003-03-31
Q1 2003,2425,Darkness Falls,Revolution Studios,32551396.0,2003-01-24,2003-03-31
Q1 2003,2427,The Core,Paramount Pictures,31186896.0,2003-03-28,2003-03-31
Q1 2003,2433,Basic,Sony Pictures Releasing,26793311.0,2003-03-28,2003-03-31
Q1 2003,2441,Biker Boyz,DreamWorks Distribution,22076772.0,2003-01-31,2003-03-31
Q1 2003,2442,Piglet's Big Movie,Walt Disney Studios Motion Pictures,21445753.0,2003-03-21,2003-03-31
Q1 2003,2448,The Life of David Gale,Universal Pictures,19955598.0,2003-02-21,2003-03-31
