season,Unnamed: 0,movie,studio,gross,release,time
Q1 1999,1022,The Matrix,Warner Bros.,171479930.0,1999-03-31,1999-03-31
Q1 1999,1044,Forces of Nature,DreamWorks Distribution,52900680.0,1999-03-19,1999-03-31
Q1 1999,1055,Varsity Blues,Paramount Pictures,52894169.0,1999-01-15,1999-03-31
Q1 1999,1056,8MM,Sony Pictures Releasing,36663315.0,1999-02-26,1999-03-31
Q1 1999,1062,October Sky,Universal Pictures,32570685.0,1999-02-19,1999-03-31
Q1 1999,1083,Everest,MacGillivray Freeman Films,87178599.0,1999-03-06,1999-03-31
Q1 1999,1092,In Dreams,DreamWorks Distribution,12017369.0,1999-01-15,1999-03-31
Q1 1999,1118,Playing by Heart,Miramax,3970078.0,1999-01-01,1999-03-31
Q1 1999,1126,She's All That,Miramax,63366989.0,1999-01-29,1999-03-31
Q1 1999,1133,Tango,Sony Pictures Classics,1897948.0,1999-01-22,1999-03-31
Q1 1999,1140,My Favorite Martian,Walt Disney Studios Motion Pictures,36850101.0,1999-02-12,1999-03-31
Q1 1999,1184,Le dernier souffle,Lionsgate,316043.0,1999-03-26,1999-03-31
Q1 1999,1198,The Harmonists,Miramax,244861.0,1999-03-12,1999-03-31
Q1 1999,1202,Babar: King of the Elephants,Alliance Atlantis Vivafilm,227374.0,1999-02-26,1999-03-31
Q1 1999,1213,Cruel Intentions,Sony Pictures Releasing,38328567.0,1999-03-05,1999-03-31
Q1 1999,1214,Lal Baadshah,Eros International,150657.0,1999-03-05,1999-03-31
Q1 1999,1228,My Name Is Joe,Artisan Entertainment,354952.0,1999-01-22,1999-03-31
Q1 1999,1231,The Last Days,October Films,421432.0,1999-02-05,1999-03-31
Q1 1999,1232,200 Cigarettes,Paramount Pictures,6852450.0,1999-02-26,1999-03-31
Q1 1999,1241,Dancemaker,Artistic License,256780.0,1999-03-03,1999-03-31
Q1 1999,1249,Such a Long Journey,Sony Pictures Releasing,44364.0,1999-03-24,1999-03-31
Q1 1999,1251,International Khiladi,Eros International,47238.0,1999-03-26,1999-03-31
Q1 1999,1262,Beyond Beautiful,Cowboy Pictures,29480.0,1999-01-08,1999-03-31
Q1 1999,1273,The Apple,New Yorker Films,15207.0,1999-02-19,1999-03-31
Q1 1999,1274,Dry Cleaning,Strand Releasing,14919.0,1999-02-05,1999-03-31
Q1 1999,1275,The 24 Hour Woman,Artisan Entertainment,109535.0,1999-01-29,1999-03-31
Q1 1999,1288,I Stand Alone,Strand Releasing,6955.0,1999-03-19,1999-03-31
Q1 1999,1297,"A Cool, Dry Place",Twentieth Century Fox,4390.0,1999-01-29,1999-03-31
Q1 1999,1310,The Sticky Fingers of Time,Strand Releasing,1610.0,1999-01-08,1999-03-31
Q1 1999,1312,Port Djema,Shadow Distribution,783.0,1999-01-01,1999-03-31
Q2 1999,1019,Star Wars: Episode I - The Phantom Menace,Twentieth Century Fox,431088295.0,1999-05-19,1999-06-30
Q2 1999,1023,Big Daddy,Sony Pictures Releasing,163479795.0,1999-06-25,1999-06-30
Q2 1999,1024,The Mummy,Universal Pictures,155385488.0,1999-05-07,1999-06-30
Q2 1999,1026,Notting Hill,Universal Pictures,116089678.0,1999-05-28,1999-06-30
Q2 1999,1027,Wild Wild West,Warner Bros.,113764509.0,1999-06-30,1999-06-30
Q2 1999,1040,Life,Universal Pictures,64016268.0,1999-04-16,1999-06-30
Q2 1999,1046,"South Park: Bigger, Longer & Uncut",Paramount Pictures,52037603.0,1999-06-30,1999-06-30
Q2 1999,1077,Austin Powers: The Spy Who Shagged Me,New Line Cinema,206040086.0,1999-06-11,1999-06-30
Q2 1999,1094,The Thirteenth Floor,Sony Pictures Releasing,11916661.0,1999-05-28,1999-06-30
Q2 1999,1101,The Love Letter,DreamWorks Distribution,8302478.0,1999-05-21,1999-06-30
Q2 1999,1106,Wings of Courage,Sony Pictures Classics,15053344.0,1999-04-21,1999-06-30
Q2 1999,1107,Extreme,IMAX,12475172.0,1999-04-02,1999-06-30
Q2 1999,1108,Africa's Elephant Kingdom,IMAX,13485455.0,1999-05-01,1999-06-30
Q2 1999,1121,Island of the Sharks,IMAX,10658505.0,1999-04-23,1999-06-30
Q2 1999,1129,Run Lola Run,Sony Pictures Classics,7267585.0,1999-06-18,1999-06-30
Q2 1999,1153,The Castle,Miramax,877621.0,1999-05-07,1999-06-30
Q2 1999,1154,Edge of Seventeen,Strand Releasing,871759.0,1999-04-30,1999-06-30
Q2 1999,1155,The King of Masks,The Samuel Goldwyn Company,1113103.0,1999-05-14,1999-06-30
Q2 1999,1164,After Life,Artistic License,801985.0,1999-05-14,1999-06-30
Q2 1999,1167,The Twin Dragons,Miramax,8359717.0,1999-04-09,1999-06-30
Q2 1999,1168,The Third Man,Rialto Pictures,618173.0,1999-05-07,1999-06-30
Q2 1999,1171,Black Mask,Artisan Entertainment,12504289.0,1999-05-14,1999-06-30
Q2 1999,1173,Idle Hands,Sony Pictures Releasing,4152230.0,1999-04-30,1999-06-30
Q2 1999,1177,eXistenZ,Miramax,2856712.0,1999-04-23,1999-06-30
Q2 1999,1181,Go,Sony Pictures Releasing,16943454.0,1999-04-09,1999-06-30
Q2 1999,1190,Open Your Eyes,Artisan Entertainment,370720.0,1999-04-16,1999-06-30
Q2 1999,1193,Sarfarosh,Eros International,288733.0,1999-04-30,1999-06-30
Q2 1999,1201,Wolves,IMAX,4811282.0,1999-06-18,1999-06-30
Q2 1999,1207,Trippin',October Films,9017070.0,1999-05-14,1999-06-30
Q2 1999,1212,Buena Vista Social Club,Artisan Entertainment,7002182.0,1999-06-04,1999-06-30
Q2 1999,1216,Silsila Hai Pyar Ka,Eros International,141528.0,1999-04-16,1999-06-30
Q2 1999,1225,Haseena Maan Jaayegi,Eros International,123719.0,1999-06-25,1999-06-30
Q2 1999,1226,Cookie's Fortune,October Films,10920544.0,1999-04-02,1999-06-30
Q2 1999,1237,Tea with Mussolini,Metro-Goldwyn-Mayer (MGM),14401563.0,1999-05-14,1999-06-30
Q2 1999,1238,Stop Making Sense1999 Re-release,Palm Pictures,146154.0,1999-05-28,1999-06-30
Q2 1999,1239,The Dreamlife of Angels,Sony Pictures Classics,1726567.0,1999-04-02,1999-06-30
Q2 1999,1250,Only You,Eros International,50785.0,1999-06-11,1999-06-30
Q2 1999,1252,Goodbye Lover,Warner Bros.,1940299.0,1999-04-16,1999-06-30
Q2 1999,1254,Desert Blue,The Samuel Goldwyn Company,100590.0,1999-06-04,1999-06-30
Q2 1999,1256,Three Seasons,October Films,2021698.0,1999-04-30,1999-06-30
Q2 1999,1257,Friends & Lovers,Lionsgate,33543.0,1999-04-16,1999-06-30
Q2 1999,1263,The Joyriders,Providence Entertainment,26999.0,1999-04-16,1999-06-30
Q2 1999,1264,Metroland,Lionsgate,26682.0,1999-04-09,1999-06-30
Q2 1999,1271,Following,Zeitgeist Films,48482.0,1999-04-02,1999-06-30
Q2 1999,1278,Dial M for Murder1999 Re-release,Warner Bros.,12562.0,1999-04-09,1999-06-30
Q2 1999,1280,Regret to Inform,Artistic License,44204.0,1999-06-25,1999-06-30
Q2 1999,1281,The Mighty Peking Man,Cowboy Pictures,17368.0,1999-04-23,1999-06-30
Q2 1999,1284,Tout TruffautFilm Festival,WinStar Cinema,11206.0,1999-04-23,1999-06-30
Q2 1999,1290,Let It Come Down: The Life of Paul Bowles,Zeitgeist Films,5869.0,1999-04-30,1999-06-30
Q2 1999,1292,Leila,First Run,5294.0,1999-05-14,1999-06-30
Q2 1999,1293,My Dinner with Andre,WinStar Cinema,5073.0,1999-05-14,1999-06-30
Q2 1999,1294,Nô,New Yorker Films,4868.0,1999-04-23,1999-06-30
Q2 1999,1295,The Empty Mirror,Lionsgate,4688.0,1999-05-07,1999-06-30
Q2 1999,1296,Jeanne and the Perfect Guy,Strand Releasing,4417.0,1999-04-16,1999-06-30
Q2 1999,1298,Het ondergronds orkest,First Look International,4315.0,1999-04-02,1999-06-30
Q2 1999,1301,Finding North,Cowboy Pictures,27466.0,1999-06-04,1999-06-30
Q2 1999,1303,Strawberry Fields,Phaedra Cinema,3347.0,1999-06-04,1999-06-30
Q2 1999,1304,I'm Crazy About Iris Blond,Miramax,3303.0,1999-05-14,1999-06-30
Q2 1999,1308,I Want You,Gramercy Pictures (I),1672.0,1999-06-04,1999-06-30
Q2 1999,1309,The Pusher,First Run,1656.0,1999-05-07,1999-06-30
Q2 1999,1311,The Underground Comedy Movie,Phaedra Cinema,856.0,1999-05-14,1999-06-30
Q2 1999,1313,Nobody,Phaedra Cinema,488.0,1999-06-04,1999-06-30
Q3 1999,1020,The Sixth Sense,Walt Disney Studios Motion Pictures,293506292.0,1999-08-06,1999-09-30
Q3 1999,1025,Runaway Bride,Paramount Pictures,152257509.0,1999-07-30,1999-09-30
Q3 1999,1028,Double Jeopardy,Paramount Pictures,116741558.0,1999-09-24,1999-09-30
Q3 1999,1029,American Pie,Universal Pictures,102561004.0,1999-07-09,1999-09-30
Q3 1999,1030,Inspector Gadget,Walt Disney Studios Motion Pictures,97403112.0,1999-07-23,1999-09-30
Q3 1999,1031,The Haunting,DreamWorks Distribution,91411151.0,1999-07-23,1999-09-30
Q3 1999,1035,American Beauty,DreamWorks Distribution,130096601.0,1999-09-15,1999-09-30
Q3 1999,1036,Deep Blue Sea,Warner Bros.,73648142.0,1999-07-30,1999-09-30
Q3 1999,1037,The Thomas Crown Affair,Metro-Goldwyn-Mayer (MGM),69305181.0,1999-08-06,1999-09-30
Q3 1999,1038,Bowfinger,Universal Pictures,66384775.0,1999-08-13,1999-09-30
Q3 1999,1047,Stigmata,Metro-Goldwyn-Mayer (MGM),50046268.0,1999-09-10,1999-09-30
Q3 1999,1060,Mickey Blue Eyes,Warner Bros.,33864342.0,1999-08-20,1999-09-30
Q3 1999,1063,Summer of Sam,Walt Disney Studios Motion Pictures,19288130.0,1999-07-02,1999-09-30
Q3 1999,1064,The 13th Warrior,Walt Disney Studios Motion Pictures,32698899.0,1999-08-27,1999-09-30
Q3 1999,1066,Lake Placid,Twentieth Century Fox,31770414.0,1999-07-16,1999-09-30
Q3 1999,1068,Mystery Men,Universal Pictures,29694550.0,1999-08-06,1999-09-30
Q3 1999,1070,Saving Private Ryan,DreamWorks Distribution,216540909.0,1999-07-24,1999-09-30
Q3 1999,1074,The Iron Giant,Warner Bros.,23159305.0,1999-08-03,1999-09-30
Q3 1999,1076,Stir of Echoes,Artisan Entertainment,21142914.0,1999-09-10,1999-09-30
Q3 1999,1088,Muppets from Space,Sony Pictures Releasing,16625807.0,1999-07-14,1999-09-30
Q3 1999,1093,Mysteries of Egypt,IMAX,40548464.0,1999-08-21,1999-09-30
Q3 1999,1095,The Muse,USA Films,11614954.0,1999-08-27,1999-09-30
Q3 1999,1105,Outside Providence,Miramax,7302522.0,1999-09-01,1999-09-30
Q3 1999,1110,Chill Factor,Warner Bros.,11263966.0,1999-09-03,1999-09-30
Q3 1999,1113,Rush Hour,New Line Cinema,141186864.0,1999-09-18,1999-09-30
Q3 1999,1116,In Too Deep,Miramax,14011454.0,1999-08-27,1999-09-30
Q3 1999,1122,Thrill Ride: The Science of Fun,Sony Pictures Classics,18798590.0,1999-07-11,1999-09-30
Q3 1999,1125,The Astronaut's Wife,New Line Cinema,10672566.0,1999-08-27,1999-09-30
Q3 1999,1127,Blue Streak,Sony Pictures Releasing,68518533.0,1999-09-17,1999-09-30
Q3 1999,1131,There's Something About Mary,Twentieth Century Fox,176484651.0,1999-07-15,1999-09-30
