season,Unnamed: 0,movie,studio,gross,release,time
Q1 1996,648,City Hall,Sony Pictures Releasing,20340204.0,1996-02-16,1996-03-31
Q1 1996,652,Flirting with Disaster,Miramax,14702438.0,1996-03-22,1996-03-31
Q1 1996,664,Executive Decision,Warner Bros.,56569216.0,1996-03-15,1996-03-31
Q1 1996,674,Antonia's Line,First Look International,4228275.0,1996-02-02,1996-03-31
Q1 1996,682,Anne Frank Remembered,Sony Pictures Classics,1310200.0,1996-02-23,1996-03-31
Q1 1996,683,Taxi Driver1996 Re-release,Sony Pictures Releasing,962574.0,1996-02-16,1996-03-31
Q1 1996,691,The Celluloid Closet,Sony Pictures Classics,1400591.0,1996-03-15,1996-03-31
Q1 1996,698,A Midwinter's Tale,Sony Pictures Classics,469571.0,1996-02-09,1996-03-31
Q1 1996,708,The Star Maker,Miramax,371674.0,1996-03-08,1996-03-31
Q1 1996,712,Bottle Rocket,Sony Pictures Releasing,560069.0,1996-02-21,1996-03-31
Q1 1996,717,Denise Calls Up,Sony Pictures Classics,148121.0,1996-03-29,1996-03-31
Q1 1996,723,The Neon Bible,Strand Releasing,78072.0,1996-03-01,1996-03-31
Q1 1996,730,Land and Freedom,Gramercy Pictures (I),228800.0,1996-03-15,1996-03-31
Q2 1996,626,Mission: Impossible,Paramount Pictures,180981856.0,1996-05-22,1996-06-30
Q2 1996,627,The Nutty Professor,Universal Pictures,128814019.0,1996-06-28,1996-06-30
Q2 1996,628,The Rock,Walt Disney Studios Motion Pictures,134069511.0,1996-06-07,1996-06-30
Q2 1996,630,Twister,Warner Bros.,241721524.0,1996-05-10,1996-06-30
Q2 1996,635,The Cable Guy,Sony Pictures Releasing,60240295.0,1996-06-14,1996-06-30
Q2 1996,649,Lone Star,Sony Pictures Classics,12408986.0,1996-06-21,1996-06-30
Q2 1996,654,Il Postino,Miramax,21848932.0,1996-06-16,1996-06-30
Q2 1996,659,Braveheart,Paramount Pictures,67047523.0,1996-05-24,1996-06-30
Q2 1996,668,Striptease,Sony Pictures Releasing,33109743.0,1996-06-28,1996-06-30
Q2 1996,672,The Arrival,Orion Pictures,14063331.0,1996-05-31,1996-06-30
Q2 1996,687,I Shot Andy Warhol,Orion Pictures,1875527.0,1996-05-01,1996-06-30
Q2 1996,688,Heavy,Lionsgate,941414.0,1996-06-05,1996-06-30
Q2 1996,695,Dead Man,Miramax,1037847.0,1996-05-10,1996-06-30
Q2 1996,707,A Perfect Candidate,Seventh Art Releasing,134485.0,1996-06-19,1996-06-30
Q2 1996,714,Cemetery Man,October Films,253986.0,1996-04-26,1996-06-30
Q2 1996,715,The Last Supper,Sony Pictures Releasing,459749.0,1996-04-05,1996-06-30
Q2 1996,728,Of Love and Shadows,Miramax,19710.0,1996-05-10,1996-06-30
Q2 1996,737,A Modern Affair,Tara Releasing,14286.0,1996-05-24,1996-06-30
Q3 1996,625,Independence Day,Twentieth Century Fox,306169268.0,1996-07-03,1996-09-30
Q3 1996,651,Maximum Risk,Sony Pictures Releasing,14502483.0,1996-09-13,1996-09-30
Q3 1996,653,The Spitfire Grill,Sony Pictures Releasing,12658486.0,1996-08-23,1996-09-30
Q3 1996,655,Big Night,The Samuel Goldwyn Company,12008376.0,1996-09-20,1996-09-30
Q3 1996,658,Se7en,New Line Cinema,100125643.0,1996-09-22,1996-09-30
Q3 1996,661,Babe,Universal Pictures,63658910.0,1996-08-04,1996-09-30
Q3 1996,665,Fly Away Home,Sony Pictures Releasing,25143818.0,1996-09-13,1996-09-30
Q3 1996,676,Basquiat,Miramax,3011195.0,1996-08-09,1996-09-30
Q3 1996,680,Surviving Picasso,Warner Bros.,2021348.0,1996-09-20,1996-09-30
