season,Unnamed: 0,movie,studio,gross,release,time
Q1 2008,5431,Horton Hears a Who!,Twentieth Century Fox,154466039.0,2008-03-14,2008-03-31
Q1 2008,5446,"10,000 BC",Warner Bros.,94784201.0,2008-03-07,2008-03-31
Q1 2008,5453,Jumper,Twentieth Century Fox,80150379.0,2008-02-14,2008-03-31
Q1 2008,5454,Cloverfield,Paramount Pictures,80048433.0,2008-01-18,2008-03-31
Q1 2008,5455,27 Dresses,Twentieth Century Fox,76727525.0,2008-01-18,2008-03-31
Q1 2008,5457,21,Sony Pictures Releasing,81159365.0,2008-03-28,2008-03-31
Q1 2008,5459,Vantage Point,Sony Pictures Releasing,72266306.0,2008-02-22,2008-03-31
Q1 2008,5460,The Spiderwick Chronicles,Paramount Pictures,71195053.0,2008-02-14,2008-03-31
Q1 2008,5462,Fool's Gold,Warner Bros.,70231041.0,2008-02-08,2008-03-31
Q1 2008,5466,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Walt Disney Studios Motion Pictures,63350115.0,2008-02-01,2008-03-31
Q1 2008,5474,Step Up 2: The Streets,Walt Disney Studios Motion Pictures,56174901.0,2008-02-14,2008-03-31
Q1 2008,5485,Rambo,Lionsgate,42754105.0,2008-01-25,2008-03-31
Q1 2008,5486,"Welcome Home, Roscoe Jenkins",Universal Pictures,42436517.0,2008-02-08,2008-03-31
Q1 2008,5488,College Road Trip,Walt Disney Studios Motion Pictures,44275094.0,2008-03-07,2008-03-31
Q1 2008,5492,Meet the Browns,Lionsgate,41975388.0,2008-03-21,2008-03-31
Q1 2008,5498,Meet the Spartans,Twentieth Century Fox,38163139.0,2008-01-25,2008-03-31
Q1 2008,5500,First Sunday,Screen Gems,37931869.0,2008-01-11,2008-03-31
Q1 2008,5508,"Definitely, Maybe",Universal Pictures,32241649.0,2008-02-14,2008-03-31
Q1 2008,5512,Drillbit Taylor,Paramount Pictures,32862104.0,2008-03-21,2008-03-31
Q1 2008,5513,The Eye,Lionsgate,31418697.0,2008-02-01,2008-03-31
Q1 2008,5518,The Bank Job,Lionsgate,30060660.0,2008-03-07,2008-03-31
Q1 2008,5519,Untraceable,Screen Gems,28687835.0,2008-01-25,2008-03-31
Q1 2008,5523,One Missed Call,Warner Bros.,26890041.0,2008-01-04,2008-03-31
Q1 2008,5524,The Other Boleyn Girl,Sony Pictures Releasing,26814957.0,2008-02-29,2008-03-31
Q1 2008,5529,Shutter,Twentieth Century Fox,25811376.0,2008-03-21,2008-03-31
Q1 2008,5530,Never Back Down,Summit Entertainment,24783625.0,2008-03-14,2008-03-31
Q1 2008,5538,Mad Money,Overture Films,20668843.0,2008-01-18,2008-03-31
Q1 2008,5559,The Pirates Who Don't Do Anything: A VeggieTales Movie,Universal Pictures,12981269.0,2008-01-11,2008-03-31
Q1 2008,5560,Miss Pettigrew Lives for a Day,Focus Features,12313694.0,2008-03-07,2008-03-31
Q1 2008,5563,Under the Same Moon,The Weinstein Company,12590147.0,2008-03-19,2008-03-31
Q1 2008,5567,Doomsday,Rogue Pictures,11008770.0,2008-03-14,2008-03-31
Q1 2008,5568,Stop-Loss,Paramount Pictures,10915744.0,2008-03-28,2008-03-31
Q1 2008,5569,Penelope,Summit Entertainment,10006295.0,2008-02-29,2008-03-31
Q1 2008,5581,In Bruges,Focus Features,7800824.0,2008-02-08,2008-03-31
Q1 2008,5583,How She Move,Paramount Vantage,7070641.0,2008-01-25,2008-03-31
Q1 2008,5585,Strange Wilderness,Paramount Classics,6575282.0,2008-02-01,2008-03-31
Q1 2008,5593,"Run, Fat Boy, Run",Picturehouse,6003262.0,2008-03-28,2008-03-31
Q1 2008,5604,Witless Protection,Lionsgate,4161625.0,2008-02-22,2008-03-31
Q1 2008,5607,Charlie Bartlett,Metro-Goldwyn-Mayer (MGM),3951699.0,2008-02-22,2008-03-31
Q1 2008,5608,Roving Mars,Walt Disney Studios Motion Pictures,10407978.0,2008-01-27,2008-03-31
Q1 2008,5609,Deep Sea,Warner Bros.,46403478.0,2008-03-03,2008-03-31
Q1 2008,5610,Jodhaa Akbar,UTV Motion Pictures,3440718.0,2008-02-15,2008-03-31
Q1 2008,5621,Priceless,The Samuel Goldwyn Company,2165188.0,2008-03-30,2008-03-31
Q1 2008,5628,The Band's Visit,Sony Pictures Classics,1629581.0,2008-02-08,2008-03-31
Q1 2008,5633,Race,UTV Motion Pictures,1367024.0,2008-03-21,2008-03-31
Q1 2008,5635,Funny Games,Warner Independent Pictures (WIP),1294919.0,2008-03-14,2008-03-31
Q1 2008,5637,Flawless,Magnolia Pictures,1200234.0,2008-03-28,2008-03-31
Q1 2008,5638,"4 Months, 3 Weeks and 2 Days",IFC Films,1198208.0,2008-01-25,2008-03-31
Q1 2008,5647,Caramel,Roadside Attractions,1055580.0,2008-02-01,2008-03-31
Q1 2008,5654,Cassandra's Dream,The Weinstein Company,973018.0,2008-01-18,2008-03-31
Q1 2008,5655,Diary of the Dead,Third Rail Releasing,958961.0,2008-02-15,2008-03-31
Q1 2008,5662,The Year My Parents Went on Vacation2007 Re-release,City Lights Pictures,807117.0,2008-02-15,2008-03-31
Q1 2008,5674,Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,Picturehouse,603894.0,2008-02-08,2008-03-31
Q1 2008,5684,Paranoid Park,IFC Films,486767.0,2008-03-07,2008-03-31
Q1 2008,5688,La ligne brisée,Alliance Atlantis Vivafilm,466309.0,2008-03-07,2008-03-31
Q1 2008,5691,The Hammer,International Film Circuit,443591.0,2008-03-21,2008-03-31
Q1 2008,5698,Snow Angels,Warner Independent Pictures (WIP),402858.0,2008-03-07,2008-03-31
Q1 2008,5702,"Mèche Blanche, les aventures du petit castor",Alliance Atlantis Vivafilm,360886.0,2008-02-22,2008-03-31
Q1 2008,5706,Teeth,Roadside Attractions,347578.0,2008-01-18,2008-03-31
Q1 2008,5707,Everything Is Fine,Alliance Atlantis Vivafilm,336569.0,2008-02-15,2008-03-31
Q1 2008,5708,City of Men,Miramax,325131.0,2008-02-29,2008-03-31
Q1 2008,5715,Be Kind Rewind,New Line Cinema,11175164.0,2008-02-22,2008-03-31
Q1 2008,5719,Taxi to the Dark Side,THINKFilm,274661.0,2008-01-18,2008-03-31
Q1 2008,5720,One Two Three,Eros International,274589.0,2008-03-28,2008-03-31
Q1 2008,5723,In the Name of the King: A Dungeon Siege Tale,Freestyle Releasing,4775656.0,2008-01-11,2008-03-31
Q1 2008,5725,My Brother Is an Only Child,THINKFilm,255620.0,2008-03-28,2008-03-31
Q1 2008,5726,The Signal,Magnolia Pictures,251150.0,2008-02-22,2008-03-31
Q1 2008,5742,Chicago 10,Roadside Attractions,177490.0,2008-02-29,2008-03-31
Q1 2008,5745,Sleepwalking,Overture Films,170392.0,2008-03-14,2008-03-31
Q1 2008,5749,Girls Rock!,Shadow Distribution,159294.0,2008-03-07,2008-03-31
Q1 2008,5753,Contempt2008 Re-release,Rialto Pictures,153619.0,2008-03-14,2008-03-31
Q1 2008,5756,Last Year at Marienbad,Rialto Pictures,144492.0,2008-01-18,2008-03-31
Q1 2008,5761,Chop Shop,Koch Lorber Films,125045.0,2008-02-27,2008-03-31
Q1 2008,5762,The Grand,Anchor Bay Films,115879.0,2008-03-21,2008-03-31
Q1 2008,5771,Beaufort,Kino International,102591.0,2008-01-18,2008-03-31
Q1 2008,5772,La traviata,Emerging Pictures,185487.0,2008-02-15,2008-03-31
Q1 2008,5778,Semi-Pro,New Line Cinema,33479698.0,2008-02-29,2008-03-31
Q1 2008,5779,Little Chenier,Slowhand Cinema Releasing,87939.0,2008-01-18,2008-03-31
Q1 2008,5782,"Me & You, Us, Forever",Five & Two Pictures,84093.0,2008-02-15,2008-03-31
Q1 2008,5797,Alexandra,The Cinema Guild,128222.0,2008-03-26,2008-03-31
Q1 2008,5798,Shoot Down,Magic Lamp,74421.0,2008-01-25,2008-03-31
Q1 2008,5800,A Four Letter Word,Embrem Entertainment,72568.0,2008-03-28,2008-03-31
Q1 2008,5801,The Business of Being Born,International Film Circuit,69991.0,2008-01-09,2008-03-31
Q1 2008,5804,Happy Valley,Stone Five Studios,67665.0,2008-03-28,2008-03-31
Q1 2008,5809,Bab'Aziz: The Prince That Contemplated His Soul,Typecast Releasing,89672.0,2008-02-08,2008-03-31
Q1 2008,5811,Summer Palace,Palm Pictures,63045.0,2008-01-18,2008-03-31
Q1 2008,5817,Praying with Lior,First Run,79516.0,2008-02-01,2008-03-31
Q1 2008,5820,U2 3D,National Geographic Entertainment,10335294.0,2008-01-23,2008-03-31
Q1 2008,5832,Boarding Gate,Magnolia Pictures,49333.0,2008-03-21,2008-03-31
