season,Unnamed: 0,movie,studio,gross,release,time
Q1 1995,544,Highlander: The Final Dimension,Miramax,12303080.0,1995-01-27,1995-03-31
Q1 1995,554,The Secret of Roan Inish,First Look International,6159269.0,1995-02-03,1995-03-31
Q1 1995,557,Exotica,Miramax,4221036.0,1995-03-03,1995-03-31
Q1 1995,561,Priest,Miramax,4165845.0,1995-03-24,1995-03-31
Q1 1995,576,Jefferson in Paris,Walt Disney Studios Motion Pictures,2473668.0,1995-03-31,1995-03-31
Q1 1995,582,Bar Girls,Orion Classics,573953.0,1995-03-24,1995-03-31
Q1 1995,589,The Sum of Us,The Samuel Goldwyn Company,766464.0,1995-03-10,1995-03-31
Q1 1995,590,Funny Bones,Walt Disney Studios Motion Pictures,532268.0,1995-03-24,1995-03-31
Q1 1995,609,A Great Day in Harlem,Castle Hill Productions,527034.0,1995-02-17,1995-03-31
Q1 1995,611,Martha & Ethel,Sony Pictures Classics,91874.0,1995-02-03,1995-03-31
Q2 1995,518,Batman Forever,Warner Bros.,184031112.0,1995-06-16,1995-06-30
Q2 1995,519,Apollo 13,Universal Pictures,172071312.0,1995-06-30,1995-06-30
Q2 1995,522,Casper,Universal Pictures,100328194.0,1995-05-26,1995-06-30
Q2 1995,525,Bad Boys,Sony Pictures Releasing,65807024.0,1995-04-07,1995-06-30
Q2 1995,526,Braveheart,Paramount Pictures,67047523.0,1995-05-24,1995-06-30
Q2 1995,532,The Lion King,Walt Disney Studios Motion Pictures,312855561.0,1995-06-15,1995-06-30
Q2 1995,540,Johnny Mnemonic,Sony Pictures Releasing,19075720.0,1995-05-26,1995-06-30
Q2 1995,552,Smoke,Miramax,8367636.0,1995-06-09,1995-06-30
Q2 1995,555,While You Were Sleeping,Walt Disney Studios Motion Pictures,81057016.0,1995-04-21,1995-06-30
Q2 1995,558,Pocahontas,Walt Disney Studios Motion Pictures,141579773.0,1995-06-16,1995-06-30
Q2 1995,564,Il Postino,Miramax,21848932.0,1995-06-16,1995-06-30
Q2 1995,567,Crumb,Sony Pictures Classics,3041083.0,1995-04-21,1995-06-30
Q2 1995,573,Burnt by the Sun,Sony Pictures Classics,2302338.0,1995-04-21,1995-06-30
Q2 1995,577,Village of the Damned,Universal Pictures,9418365.0,1995-04-28,1995-06-30
Q2 1995,580,Picture Bride,Miramax,1238905.0,1995-04-28,1995-06-30
Q2 1995,583,Love & Human Remains,Sony Pictures Classics,542985.0,1995-06-02,1995-06-30
Q2 1995,585,A Pyromaniac's Love Story,Walt Disney Studios Motion Pictures,345972.0,1995-04-28,1995-06-30
Q2 1995,586,Wigstock: The Movie,The Samuel Goldwyn Company,686152.0,1995-06-09,1995-06-30
Q2 1995,591,Search and Destroy,October Films,389503.0,1995-04-28,1995-06-30
Q2 1995,593,Lie Down with Dogs,Miramax,240280.0,1995-06-30,1995-06-30
Q2 1995,594,Party Girl,First Look International,472370.0,1995-06-09,1995-06-30
Q2 1995,597,Pushing Hands,Lionsgate,152322.0,1995-06-02,1995-06-30
Q2 1995,600,Stalingrad,Strand Releasing,152972.0,1995-05-24,1995-06-30
Q2 1995,601,A Pure Formality,Sony Pictures Classics,190749.0,1995-05-26,1995-06-30
Q2 1995,602,Safe,Sony Pictures Classics,512245.0,1995-06-23,1995-06-30
Q2 1995,618,Dance Me Outside,Shadow Distribution,66229.0,1995-06-02,1995-06-30
Q2 1995,622,Black Is... Black Ain't,Tara Releasing,10171.0,1995-05-05,1995-06-30
Q2 1995,623,Moving the Mountain,October Films,44536.0,1995-04-26,1995-06-30
Q3 1995,524,Se7en,New Line Cinema,100125643.0,1995-09-22,1995-09-30
Q3 1995,530,Babe,Universal Pictures,63658910.0,1995-08-04,1995-09-30
Q3 1995,539,Forrest Gump,Paramount Pictures,329694499.0,1995-07-06,1995-09-30
Q3 1995,545,The Shawshank Redemption,Columbia Pictures,28341469.0,1995-09-23,1995-09-30
Q3 1995,559,Quiz Show,Walt Disney Studios Motion Pictures,24822619.0,1995-09-16,1995-09-30
Q3 1995,562,The Net,Sony Pictures Releasing,50727965.0,1995-07-28,1995-09-30
Q3 1995,568,Unzipped,Miramax,2875086.0,1995-08-04,1995-09-30
Q3 1995,571,Jeffrey,Orion Classics,3487767.0,1995-08-04,1995-09-30
Q3 1995,588,Empire Records,Warner Bros.,273188.0,1995-09-22,1995-09-30
Q3 1995,596,Nadja,October Films,443169.0,1995-08-25,1995-09-30
Q3 1995,605,Roosters,IRS Media,148919.0,1995-07-14,1995-09-30
Q3 1995,612,Theremin: An Electronic Odyssey,Orion Classics,253311.0,1995-08-25,1995-09-30
Q3 1995,614,Nico Icon,Roxie Releasing,306691.0,1995-09-08,1995-09-30
Q3 1995,616,An Awfully Big Adventure,Fine Line Features,259724.0,1995-07-21,1995-09-30
Q3 1995,624,The Stars Fell on Henrietta,Warner Bros.,99318.0,1995-09-15,1995-09-30
Q4 1995,520,Toy Story,Walt Disney Studios Motion Pictures,191796233.0,1995-11-22,1995-12-31
Q4 1995,521,Ace Ventura: When Nature Calls,Warner Bros.,108385533.0,1995-11-10,1995-12-31
Q4 1995,523,GoldenEye,Metro-Goldwyn-Mayer (MGM),106429941.0,1995-11-17,1995-12-31
Q4 1995,527,Jumanji,Sony Pictures Releasing,100475249.0,1995-12-15,1995-12-31
Q4 1995,528,Father of the Bride Part II,Walt Disney Studios Motion Pictures,76594107.0,1995-12-08,1995-12-31
Q4 1995,529,The American President,Sony Pictures Releasing,60079496.0,1995-11-17,1995-12-31
Q4 1995,531,Casino,Universal Pictures,42512375.0,1995-11-22,1995-12-31
Q4 1995,533,Heat,Warner Bros.,67436818.0,1995-12-15,1995-12-31
Q4 1995,534,Waiting to Exhale,Twentieth Century Fox,67052156.0,1995-12-22,1995-12-31
Q4 1995,535,Money Train,Sony Pictures Releasing,35431113.0,1995-11-22,1995-12-31
Q4 1995,536,Little Women,Sony Pictures Releasing,50083616.0,1995-12-21,1995-12-31
Q4 1995,537,Sabrina,Paramount Pictures,53672080.0,1995-12-15,1995-12-31
Q4 1995,538,Grumpier Old Men,Warner Bros.,71518503.0,1995-12-22,1995-12-31
Q4 1995,541,Street Fighter,Universal Pictures,33423521.0,1995-12-23,1995-12-31
Q4 1995,542,Tom and Huck,Walt Disney Studios Motion Pictures,23920048.0,1995-12-22,1995-12-31
Q4 1995,543,Sudden Death,Universal Pictures,20350171.0,1995-12-22,1995-12-31
Q4 1995,546,The Madness of King George,The Samuel Goldwyn Company,15238689.0,1995-12-30,1995-12-31
Q4 1995,547,Dracula: Dead and Loving It,Sony Pictures Releasing,10772144.0,1995-12-22,1995-12-31
Q4 1995,548,Immortal Beloved,Sony Pictures Releasing,9914409.0,1995-12-16,1995-12-31
Q4 1995,549,Nixon,Walt Disney Studios Motion Pictures,13681765.0,1995-12-22,1995-12-31
Q4 1995,550,Cutthroat Island,Metro-Goldwyn-Mayer (MGM),10017322.0,1995-12-22,1995-12-31
Q4 1995,551,Balto,Universal Pictures,11348324.0,1995-12-22,1995-12-31
Q4 1995,553,Sense and Sensibility,Sony Pictures Releasing,43182776.0,1995-12-15,1995-12-31
Q4 1995,556,Hoop Dreams,Fine Line Features,7830611.0,1995-10-14,1995-12-31
Q4 1995,560,Four Rooms,Miramax,4257354.0,1995-12-22,1995-12-31
Q4 1995,563,Heavenly Creatures,Miramax,3049135.0,1995-11-16,1995-12-31
Q4 1995,565,Copycat,Warner Bros.,32051917.0,1995-10-27,1995-12-31
Q4 1995,566,The Last Seduction,October Films,5842603.0,1995-10-26,1995-12-31
Q4 1995,569,Vanya on 42nd Street,Sony Pictures Classics,1746050.0,1995-10-21,1995-12-31
Q4 1995,570,Carrington,Gramercy Pictures (I),3242342.0,1995-11-10,1995-12-31
Q4 1995,572,Death and the Maiden,Fine Line Features,3103716.0,1995-12-23,1995-12-31
Q4 1995,574,A Man of No Importance,Sony Pictures Classics,920916.0,1995-12-22,1995-12-31
Q4 1995,575,Mrs. Parker and the Vicious Circle,Fine Line Features,2144667.0,1995-11-23,1995-12-31
Q4 1995,578,To Live,The Samuel Goldwyn Company,2332728.0,1995-11-18,1995-12-31
Q4 1995,579,Leaving Las Vegas,Metro-Goldwyn-Mayer (MGM),32029928.0,1995-10-27,1995-12-31
Q4 1995,581,Kicking and Screaming,Trimark Pictures,718490.0,1995-10-06,1995-12-31
Q4 1995,584,Shanghai Triad,Sony Pictures Classics,2086101.0,1995-12-20,1995-12-31
Q4 1995,587,Federal Hill,Trimark Pictures,514775.0,1995-12-09,1995-12-31
Q4 1995,592,12 Monkeys,Universal Pictures,57141459.0,1995-12-29,1995-12-31
Q4 1995,595,Dead Man Walking,Gramercy Pictures (I),39363635.0,1995-12-29,1995-12-31
Q4 1995,598,The Doom Generation,Trimark Pictures,284785.0,1995-10-25,1995-12-31
Q4 1995,599,Richard III,United Artists,2684904.0,1995-12-29,1995-12-31
Q4 1995,603,Restoration,Miramax,4005941.0,1995-12-29,1995-12-31
