season,Unnamed: 0,movie,studio,gross,release,time
Q1 2018,12233,Black Panther,Walt Disney Studios Motion Pictures,700059566.0,2018-02-16,2018-03-31
Q1 2018,12255,Ready Player One,Warner Bros.,137690172.0,2018-03-29,2018-03-31
Q1 2018,12259,Peter Rabbit,Sony Pictures Releasing,115253424.0,2018-02-09,2018-03-31
Q1 2018,12266,A Wrinkle in Time,Walt Disney Studios Motion Pictures,100478608.0,2018-03-09,2018-03-31
Q1 2018,12267,Fifty Shades Freed,Universal Pictures,100407760.0,2018-02-09,2018-03-31
Q1 2018,12269,I Can Only Imagine,Roadside Attractions,83482352.0,2018-03-16,2018-03-31
Q1 2018,12275,Game Night,Warner Bros.,69179066.0,2018-02-23,2018-03-31
Q1 2018,12279,Insidious: The Last Key,Universal Pictures,67745330.0,2018-01-05,2018-03-31
Q1 2018,12283,Pacific Rim: Uprising,Universal Pictures,59874525.0,2018-03-23,2018-03-31
Q1 2018,12284,Tomb Raider,Warner Bros.,58250803.0,2018-03-16,2018-03-31
Q1 2018,12285,Maze Runner: The Death Cure,Twentieth Century Fox,57902320.0,2018-01-26,2018-03-31
Q1 2018,12297,Red Sparrow,Twentieth Century Fox,46860157.0,2018-03-02,2018-03-31
Q1 2018,12299,12 Strong,Warner Bros.,45819713.0,2018-01-19,2018-03-31
Q1 2018,12300,Den of Thieves,STX Entertainment,44947622.0,2018-01-19,2018-03-31
Q1 2018,12303,Tyler Perry's Acrimony,Lionsgate,43549096.0,2018-03-30,2018-03-31
Q1 2018,12304,Sherlock Gnomes,Paramount Pictures,43242871.0,2018-03-23,2018-03-31
Q1 2018,12309,Paddington 2,Warner Bros.,40891591.0,2018-01-12,2018-03-31
Q1 2018,12310,"Love, Simon",Twentieth Century Fox,40823927.0,2018-03-16,2018-03-31
Q1 2018,12312,The Commuter,Lionsgate,36343858.0,2018-01-12,2018-03-31
Q1 2018,12313,The 15:17 to Paris,Warner Bros.,36276286.0,2018-02-09,2018-03-31
Q1 2018,12317,Death Wish,Metro-Goldwyn-Mayer (MGM),34017028.0,2018-03-02,2018-03-31
Q1 2018,12319,Annihilation,Paramount Pictures,32732301.0,2018-02-23,2018-03-31
Q1 2018,12321,Isle of Dogs,Fox Searchlight Pictures,31892516.0,2018-03-23,2018-03-31
Q1 2018,12335,Winchester,Lionsgate,25091816.0,2018-02-02,2018-03-31
Q1 2018,12343,Proud Mary,Screen Gems,20877013.0,2018-01-12,2018-03-31
Q1 2018,12351,"Paul, Apostle of Christ",Affirm Films,17560475.0,2018-03-23,2018-03-31
Q1 2018,12355,Forever My Girl,Roadside Attractions,16376066.0,2018-01-19,2018-03-31
Q1 2018,12379,Early Man,Lionsgate,8267544.0,2018-02-16,2018-03-31
Q1 2018,12381,The Death of Stalin,IFC Films,8047856.0,2018-03-09,2018-03-31
Q1 2018,12383,Unsane,Bleecker Street Media,7732899.0,2018-03-23,2018-03-31
Q1 2018,12394,The Hurricane Heist,Entertainment Studios Motion Pictures,6115825.0,2018-03-09,2018-03-31
Q1 2018,12395,Every Day,Orion Pictures,6102076.0,2018-02-23,2018-03-31
Q1 2018,12401,God's Not Dead: A Light in Darkness,Pure Flix Entertainment,5728940.0,2018-03-30,2018-03-31
Q1 2018,12407,Gringo,STX Entertainment,4969853.0,2018-03-09,2018-03-31
Q1 2018,12408,Samson,Pure Flix Entertainment,4719928.0,2018-02-16,2018-03-31
Q1 2018,12427,7 Days in Entebbe,Focus Features,3189220.0,2018-03-16,2018-03-31
Q1 2018,12430,Thoroughbreds,Focus Features,3072605.0,2018-03-09,2018-03-31
Q1 2018,12438,Mary and the Witch's Flower,GKIDS,2418404.0,2018-01-18,2018-03-31
Q1 2018,12449,The Metropolitan Opera HD Live: Puccini: Tosca,Fathom Events,2023749.0,2018-01-27,2018-03-31
Q1 2018,12453,Detective Chinatown 2,Warner Bros.,1983984.0,2018-02-16,2018-03-31
Q1 2018,12457,The Metropolitan Opera HD Live: Puccini: La Bohème,Fathom Events,1764201.0,2018-02-24,2018-03-31
Q1 2018,12460,Pad Man,Sony Pictures Releasing,1670192.0,2018-02-09,2018-03-31
Q1 2018,12467,Finding Your Feet,Roadside Attractions,1418682.0,2018-03-30,2018-03-31
Q1 2018,12472,Baaghi 2,FIP,1319579.0,2018-03-30,2018-03-31
Q1 2018,12473,The Metropolitan Opera HD Live: Mozart: Così fan tutte,Fathom Events,1302949.0,2018-03-31,2018-03-31
Q1 2018,12488,The Metropolitan Opera HD Live: Donizetti: L'Elisir d'Amore,Fathom Events,1115018.0,2018-02-10,2018-03-31
Q1 2018,12491,The Dark Crystal2018 Re-release,Fathom Events,1036956.0,2018-02-25,2018-03-31
Q1 2018,12493,The Metropolitan Opera HD Live: Rossini: Semiramide,Fathom Events,1033651.0,2018-03-10,2018-03-31
Q1 2018,12497,Raid,Eros International,1010385.0,2018-03-16,2018-03-31
Q1 2018,12504,Kirk Cameron: Connect,Fathom Events,918127.0,2018-02-27,2018-03-31
Q1 2018,12519,The Party,Roadside Attractions,749827.0,2018-02-16,2018-03-31
Q1 2018,12525,Monster Hunt 2,Lionsgate,706153.0,2018-02-16,2018-03-31
Q1 2018,12534,Ponyo2018 Re-release,Fathom Events,653072.0,2018-03-25,2018-03-31
Q1 2018,12539,Itzhak,Greenwich Entertainment,607290.0,2018-03-09,2018-03-31
Q1 2018,12550,The Room2017 Re-release,Fathom Events,549602.0,2018-01-10,2018-03-31
Q1 2018,12561,Bilal: A New Breed of Hero2018 Re-release,Vertical Entertainment,490973.0,2018-02-02,2018-03-31
Q1 2018,12567,Condorito: The Movie,Lionsgate,447719.0,2018-01-12,2018-03-31
Q1 2018,12571,Operation Red Sea,Well Go USA Entertainment,436059.0,2018-02-23,2018-03-31
Q1 2018,12576,The Philadelphia Story2018 Re-release,Fathom Events,404524.0,2018-02-18,2018-03-31
Q1 2018,12584,Vertigo2018 Re-release,Fathom Events,394212.0,2018-03-18,2018-03-31
Q1 2018,12586,Flower,The Orchard,328188.0,2018-03-16,2018-03-31
Q1 2018,12593,Get Out,Universal Pictures,176040665.0,2018-02-24,2018-03-31
Q1 2018,12600,Suicide the Ripple Effect,GathrFilms,347468.0,2018-02-23,2018-03-31
Q1 2018,12601,The Opera House,Fathom Events,320079.0,2018-01-13,2018-03-31
Q1 2018,12602,The Riot and the Dance,Fathom Events,316103.0,2018-03-19,2018-03-31
Q1 2018,12603,The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,Fathom Events,313088.0,2018-01-21,2018-03-31
Q1 2018,12620,Back to Burgundy,Music Box Films,257610.0,2018-03-23,2018-03-31
Q1 2018,12622,Best F(r)iends: Volume 1,Fathom Events,252410.0,2018-03-30,2018-03-31
Q1 2018,12626,Alien Intrusion: Unmasking a Deception,Fathom Events,237411.0,2018-01-11,2018-03-31
Q1 2018,12628,Hamlet2018 Re-release,Fathom Events,235229.0,2018-03-08,2018-03-31
Q1 2018,12631,Under the Sea 3D,Warner Bros.,36223935.0,2018-02-13,2018-03-31
Q1 2018,12634,Mazinger Z: INFINITY,Fathom Events,220682.0,2018-02-11,2018-03-31
Q1 2018,12637,Getting Grace,Hannover House,217812.0,2018-03-23,2018-03-31
Q1 2018,12639,The Treasure of the Sierra Madre,Fathom Events,215295.0,2018-01-14,2018-03-31
Q1 2018,12640,Agent Mr. Chan,China Lion Film Distribution,208351.0,2018-02-23,2018-03-31
Q1 2018,12660,The Bolshoi Ballet: Live From Moscow - The Flames of Paris,Fathom Events,175922.0,2018-03-04,2018-03-31
Q1 2018,12664,The Bolshoi Ballet: Live From Moscow - The Lady of the Camellias,Fathom Events,167991.0,2018-02-04,2018-03-31
Q1 2018,12666,Is Genesis History?2018 Re-release,Fathom Events,166763.0,2018-02-22,2018-03-31
Q1 2018,12673,Gemini,Neon,200340.0,2018-03-30,2018-03-31
Q1 2018,12674,The Oscar Nominated Short Films 2018: Live Action,Shorts International,1895840.0,2018-02-09,2018-03-31
Q1 2018,12681,Deep Sea,Warner Bros.,46403478.0,2018-03-03,2018-03-31
Q1 2018,12689,The Young Karl Marx,The Orchard,125659.0,2018-02-23,2018-03-31
Q1 2018,12691,'85: The Greatest Team in Football History,Fathom Events,124573.0,2018-01-29,2018-03-31
Q1 2018,12693,Outside In,The Orchard,68492.0,2018-03-30,2018-03-31
Q1 2018,12696,Yu-Gi-Oh!: The Movie - Pyramid of Light2018 Re-release,Fathom Events,121688.0,2018-03-11,2018-03-31
Q1 2018,12702,Nostalgia,Bleecker Street Media,114603.0,2018-02-16,2018-03-31
Q1 2018,12713,National Theatre Live: Julius Caesar,Fathom Events,107057.0,2018-03-22,2018-03-31
Q1 2018,12717,Ismael's Ghosts,Magnolia Pictures,102510.0,2018-03-23,2018-03-31
Q1 2018,12728,Golden Slumber,CJ Entertainment,94450.0,2018-02-16,2018-03-31
Q1 2018,12732,Cat on a Hot Tin Roof,Fathom Events,89332.0,2018-02-22,2018-03-31
Q1 2018,12734,Goldstone2018 Re-release,Lightyear Entertainment,87639.0,2018-03-02,2018-03-31
Q1 2018,12743,Claire's Camera,The Cinema Guild,83418.0,2018-03-09,2018-03-31
Q1 2018,12748,The Princess and the Matchmaker,CJ Entertainment,78900.0,2018-03-09,2018-03-31
