season,Unnamed: 0,movie,studio,gross,release,time
Q1 1994,418,Four Weddings and a Funeral,Gramercy Pictures (I),52700832.0,1994-03-11,1994-03-31
Q1 1994,423,Reality Bites,Universal Pictures,20982557.0,1994-02-18,1994-03-31
Q1 1994,445,Sirens,Miramax,7770731.0,1994-03-04,1994-03-31
Q1 1994,455,Blank Check,Walt Disney Studios Motion Pictures,30577969.0,1994-02-11,1994-03-31
Q1 1994,456,Ace Ventura: Pet Detective,Warner Bros.,72217396.0,1994-02-04,1994-03-31
Q1 1994,460,The Paper,Universal Pictures,38824341.0,1994-03-18,1994-03-31
Q1 1994,467,Red Rock West,Roxie Releasing,2502551.0,1994-01-28,1994-03-31
Q1 1994,468,Blink,New Line Cinema,16696219.0,1994-01-28,1994-03-31
Q1 1994,469,Intersection,Paramount Pictures,21355893.0,1994-01-21,1994-03-31
Q1 1994,471,Romeo Is Bleeding,Gramercy Pictures (I),3275585.0,1994-02-04,1994-03-31
Q1 1994,473,Bitter Moon,Fine Line Features,1862805.0,1994-03-18,1994-03-31
Q1 1994,476,I'll Do Anything,Columbia Pictures,10424645.0,1994-02-04,1994-03-31
Q1 1994,477,Gunmen,Dimension Films,3411885.0,1994-02-04,1994-03-31
Q1 1994,478,"The Wonderful, Horrible Life of Leni Riefenstahl",Kino International,449707.0,1994-03-18,1994-03-31
Q1 1994,493,The Cement Garden,October Films,322975.0,1994-02-11,1994-03-31
Q1 1994,498,Body Snatchers,Warner Bros.,428868.0,1994-01-14,1994-03-31
Q1 1994,509,American Masters: The Life and Times of Allen Ginsberg,First Run,22692.0,1994-02-17,1994-03-31
Q2 1994,410,The Flintstones,Universal Pictures,130531208.0,1994-05-27,1994-06-30
Q2 1994,416,When a Man Loves a Woman,Walt Disney Studios Motion Pictures,50021959.0,1994-04-29,1994-06-30
Q2 1994,419,Beverly Hills Cop III,Paramount Pictures,42614912.0,1994-05-25,1994-06-30
Q2 1994,426,Jurassic Park,Universal Pictures,357067947.0,1994-06-11,1994-06-30
Q2 1994,437,Maverick,Warner Bros.,101631272.0,1994-05-20,1994-06-30
Q2 1994,438,Speed,Twentieth Century Fox,121248145.0,1994-06-10,1994-06-30
Q2 1994,442,Widows' Peak,Fine Line Features,6243722.0,1994-05-13,1994-06-30
Q2 1994,443,Getting Even with Dad,Metro-Goldwyn-Mayer (MGM),18869594.0,1994-06-17,1994-06-30
Q2 1994,447,City Slickers II: The Legend of Curly's Gold,Columbia Pictures,43622150.0,1994-06-10,1994-06-30
Q2 1994,449,The Cowboy Way,Universal Pictures,20280016.0,1994-06-03,1994-06-30
Q2 1994,451,The Crow,Miramax,50693129.0,1994-05-13,1994-06-30
Q2 1994,459,Renaissance Man,Walt Disney Studios Motion Pictures,24332324.0,1994-06-03,1994-06-30
Q2 1994,475,Three Colors: White,Miramax,1237219.0,1994-06-10,1994-06-30
Q2 1994,488,Cronos,October Films,621392.0,1994-04-01,1994-06-30
Q2 1994,495,That's Entertainment! III,Metro-Goldwyn-Mayer (MGM),280163.0,1994-05-06,1994-06-30
Q2 1994,499,The Slingshot,Sony Pictures Classics,308368.0,1994-06-03,1994-06-30
Q2 1994,500,Dream Lover,Gramercy Pictures (I),256264.0,1994-05-06,1994-06-30
Q2 1994,502,Freedom on My Mind,Tara Releasing,71176.0,1994-06-22,1994-06-30
Q2 1994,507,La scorta,First Look International,147107.0,1994-05-06,1994-06-30
Q2 1994,517,High Lonesome: The Story of Bluegrass Music,Tara Releasing,53319.0,1994-04-29,1994-06-30
Q3 1994,425,Quiz Show,Walt Disney Studios Motion Pictures,24822619.0,1994-09-16,1994-09-30
Q3 1994,429,"Corrina, Corrina",New Line Cinema,20164171.0,1994-08-12,1994-09-30
Q3 1994,434,"The Adventures of Priscilla, Queen of the Desert",Gramercy Pictures (I),11220670.0,1994-08-10,1994-09-30
Q3 1994,439,The Mask,New Line Cinema,119938730.0,1994-07-29,1994-09-30
Q3 1994,440,The Next Karate Kid,Columbia Pictures,8914777.0,1994-08-12,1994-09-30
Q3 1994,446,The Little Rascals,Universal Pictures,52125282.0,1994-08-05,1994-09-30
Q3 1994,448,Fresh,Miramax,8094616.0,1994-08-19,1994-09-30
Q3 1994,450,The Fugitive,Warner Bros.,183403565.0,1994-08-06,1994-09-30
Q3 1994,457,Little Big League,Columbia Pictures,12267790.0,1994-07-01,1994-09-30
Q3 1994,461,The Client,Warner Bros.,92115211.0,1994-07-22,1994-09-30
Q3 1994,464,Eat Drink Man Woman,The Samuel Goldwyn Company,7294403.0,1994-08-03,1994-09-30
Q3 1994,474,Barcelona,Fine Line Features,7266973.0,1994-07-29,1994-09-30
Q3 1994,482,Nostradamus,Orion Classics,364164.0,1994-09-16,1994-09-30
Q3 1994,484,The Advocate,Miramax,602329.0,1994-08-24,1994-09-30
