season,Unnamed: 0,movie,studio,gross,release,time
Q1 2015,10023,Cinderella,Walt Disney Studios Motion Pictures,197998802.0,2015-03-13,2015-03-31
Q1 2015,10028,Home,Twentieth Century Fox,177352879.0,2015-03-27,2015-03-31
Q1 2015,10030,Fifty Shades Marathon,Universal Pictures,166167230.0,2015-02-13,2015-03-31
Q1 2015,10031,The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,162994032.0,2015-02-06,2015-03-31
Q1 2015,10035,Insurgent,Lionsgate,130179072.0,2015-03-20,2015-03-31
Q1 2015,10037,Kingsman: The Secret Service,Twentieth Century Fox,128219589.0,2015-02-13,2015-03-31
Q1 2015,10043,Get Hard,Warner Bros.,90411453.0,2015-03-27,2015-03-31
Q1 2015,10045,Taken 3,Twentieth Century Fox,89179052.0,2015-01-09,2015-03-31
Q1 2015,10060,The Wedding Ringer,Screen Gems,64460211.0,2015-01-16,2015-03-31
Q1 2015,10067,Focus,Warner Bros.,53862963.0,2015-02-27,2015-03-31
Q1 2015,10073,Jupiter Ascending,Warner Bros.,47387723.0,2015-02-06,2015-03-31
Q1 2015,10081,"McFarland, USA",Walt Disney Studios Motion Pictures,44076263.0,2015-02-20,2015-03-31
Q1 2015,10086,The Boy Next Door,Universal Pictures,35423380.0,2015-01-23,2015-03-31
Q1 2015,10089,The Duff,Lionsgate,34030343.0,2015-02-20,2015-03-31
Q1 2015,10091,The Second Best Exotic Marigold Hotel,Fox Searchlight Pictures,33021238.0,2015-03-06,2015-03-31
Q1 2015,10095,Chappie,Sony Pictures Releasing,31569268.0,2015-03-06,2015-03-31
Q1 2015,10103,The Woman in Black 2: Angel of Death,Relativity Media,26501323.0,2015-01-02,2015-03-31
Q1 2015,10104,Run All Night,Warner Bros.,26461644.0,2015-03-13,2015-03-31
Q1 2015,10107,The Lazarus Effect,Relativity Media,25801570.0,2015-02-27,2015-03-31
Q1 2015,10111,Hubble 3D,Warner Bros.,52503602.0,2015-03-19,2015-03-31
Q1 2015,10114,Project Almanac,Paramount Pictures,22348241.0,2015-01-30,2015-03-31
Q1 2015,10115,Black or White,Relativity Media,21571189.0,2015-01-30,2015-03-31
Q1 2015,10128,Seventh Son,Universal Pictures,17223265.0,2015-02-06,2015-03-31
Q1 2015,10133,It Follows,RADiUS-TWC,14674076.0,2015-03-13,2015-03-31
Q1 2015,10139,Do You Believe?,Pure Flix Entertainment,12985600.0,2015-03-20,2015-03-31
Q1 2015,10142,Hot Tub Time Machine 2,Paramount Pictures,12314651.0,2015-02-20,2015-03-31
Q1 2015,10146,Strange Magic,Walt Disney Studios Motion Pictures,11937516.0,2015-01-23,2015-03-31
Q1 2015,10147,The Gunman,Open Road Films (II),10664749.0,2015-03-20,2015-03-31
Q1 2015,10148,Unfinished Business,Twentieth Century Fox,10204358.0,2015-03-06,2015-03-31
Q1 2015,10152,Under the Sea 3D,Warner Bros.,36223935.0,2015-02-13,2015-03-31
Q1 2015,10157,Blackhat,Universal Pictures,8005980.0,2015-01-16,2015-03-31
Q1 2015,10158,Mortdecai,Lionsgate,7696134.0,2015-01-23,2015-03-31
Q1 2015,10167,The Loft,Open Road Films (II),6002684.0,2015-01-30,2015-03-31
Q1 2015,10171,Danny Collins,Bleecker Street Media,5637066.0,2015-03-20,2015-03-31
Q1 2015,10185,A la mala,Lionsgate,3629842.0,2015-02-27,2015-03-31
