season,Unnamed: 0,movie,studio,gross,release,time
Q1 2004,2932,The Passion of the Christ,Newmarket Films,369895388.0,2004-02-25,2004-03-31
Q1 2004,2944,50 First Dates,Sony Pictures Releasing,120908074.0,2004-02-13,2004-03-31
Q1 2004,2952,Starsky & Hutch,Warner Bros.,88237754.0,2004-03-05,2004-03-31
Q1 2004,2953,Along Came Polly,Universal Pictures,88097164.0,2004-01-16,2004-03-31
Q1 2004,2957,Scooby-Doo 2: Monsters Unleashed,Warner Bros.,84216833.0,2004-03-26,2004-03-31
Q1 2004,2970,Barbershop 2: Back in Business,Metro-Goldwyn-Mayer (MGM),65111277.0,2004-02-06,2004-03-31
Q1 2004,2971,Hidalgo,Walt Disney Studios Motion Pictures,64266271.0,2004-03-05,2004-03-31
Q1 2004,2972,Miracle,Walt Disney Studios Motion Pictures,63366835.0,2004-02-06,2004-03-31
Q1 2004,2978,Dawn of the Dead,Universal Pictures,59020957.0,2004-03-19,2004-03-31
Q1 2004,2987,Secret Window,Sony Pictures Releasing,48022900.0,2004-03-12,2004-03-31
Q1 2004,2992,You Got Served,Screen Gems,40363810.0,2004-01-30,2004-03-31
Q1 2004,2993,The Ladykillers,Walt Disney Studios Motion Pictures,39799191.0,2004-03-26,2004-03-31
Q1 2004,3002,Taking Lives,Warner Bros.,32682342.0,2004-03-19,2004-03-31
Q1 2004,3006,Confessions of a Teenage Drama Queen,Walt Disney Studios Motion Pictures,29331068.0,2004-02-20,2004-03-31
Q1 2004,3015,Twisted,Paramount Pictures,25198598.0,2004-02-27,2004-03-31
Q1 2004,3017,Eternal Sunshine of the Spotless Mind,Focus Features,34400301.0,2004-03-19,2004-03-31
Q1 2004,3018,Agent Cody Banks 2: Destination London,Metro-Goldwyn-Mayer (MGM),23630159.0,2004-03-12,2004-03-31
Q1 2004,3021,Torque,Warner Bros.,21215059.0,2004-01-16,2004-03-31
Q1 2004,3026,NASCAR: The IMAX Experience,Warner Bros.,21583831.0,2004-03-12,2004-03-31
Q1 2004,3028,EuroTrip,DreamWorks Distribution,17771387.0,2004-02-20,2004-03-31
Q1 2004,3029,Win a Date with Tad Hamilton!,DreamWorks Distribution,17071962.0,2004-01-23,2004-03-31
Q1 2004,3031,Catch That Kid,Twentieth Century Fox,16679623.0,2004-02-06,2004-03-31
Q1 2004,3037,Welcome to Mooseport,Twentieth Century Fox,14436953.0,2004-02-20,2004-03-31
Q1 2004,3047,Chasing Liberty,Warner Bros.,12195626.0,2004-01-09,2004-03-31
Q1 2004,3052,The Perfect Score,Paramount Pictures,10391003.0,2004-01-30,2004-03-31
Q1 2004,3058,Bugs!,SK Films,19062359.0,2004-03-12,2004-03-31
Q1 2004,3067,The Big Bounce,Warner Bros.,6489476.0,2004-01-30,2004-03-31
Q1 2004,3069,Teacher's Pet,Walt Disney Studios Motion Pictures,6111700.0,2004-01-16,2004-03-31
Q1 2004,3070,Against the Ropes,Paramount Pictures,5884190.0,2004-02-20,2004-03-31
Q1 2004,3073,Never Die Alone,Fox Searchlight Pictures,5602750.0,2004-03-26,2004-03-31
Q1 2004,3076,Club Dread,Fox Searchlight Pictures,4949946.0,2004-02-27,2004-03-31
Q1 2004,3078,Touching the Void,IFC Films,4593598.0,2004-01-23,2004-03-31
Q1 2004,3079,Spartan,Warner Bros.,4434432.0,2004-03-12,2004-03-31
Q1 2004,3093,The Dreamers,Fox Searchlight Pictures,2515202.0,2004-02-06,2004-03-31
Q1 2004,3096,Bon voyage2004 Re-release,Sony Pictures Classics,2354559.0,2004-03-19,2004-03-31
Q1 2004,3118,The Corporation,Mongrel Media,1608665.0,2004-01-16,2004-03-31
Q1 2004,3123,Osama,United Artists,1270904.0,2004-02-06,2004-03-31
Q1 2004,3139,My Baby's Daddy,Miramax,17669317.0,2004-01-09,2004-03-31
Q1 2004,3141,Jersey Girl,Miramax,24990297.0,2004-03-26,2004-03-31
