season,Unnamed: 0,movie,studio,gross,release,time
Q1 2016,10725,Deadpool,Twentieth Century Fox,363042311.0,2016-02-12,2016-03-31
Q1 2016,10726,Zootopia,Walt Disney Studios Motion Pictures,341268248.0,2016-03-04,2016-03-31
Q1 2016,10727,Batman v Superman: Dawn of Justice,Warner Bros.,330360194.0,2016-03-25,2016-03-31
Q1 2016,10739,Kung Fu Panda 3,Twentieth Century Fox,143517851.0,2016-01-29,2016-03-31
Q1 2016,10751,Ride Along 2,Universal Pictures,90862685.0,2016-01-15,2016-03-31
Q1 2016,10763,10 Cloverfield Lane,Paramount Pictures,72082998.0,2016-03-11,2016-03-31
Q1 2016,10765,Allegiant,Lionsgate,66184051.0,2016-03-18,2016-03-31
Q1 2016,10770,London Has Fallen,Focus Features,62524260.0,2016-03-04,2016-03-31
Q1 2016,10773,My Big Fat Greek Wedding 2,Universal Pictures,59689605.0,2016-03-25,2016-03-31
Q1 2016,10781,13 Hours,Paramount Pictures,52853219.0,2016-01-15,2016-03-31
Q1 2016,10786,How to Be Single,Warner Bros.,46843513.0,2016-02-12,2016-03-31
Q1 2016,10796,Risen,Sony Pictures Releasing,36880033.0,2016-02-19,2016-03-31
Q1 2016,10799,The Boy,STX Entertainment,35819556.0,2016-01-22,2016-03-31
Q1 2016,10800,Dirty Grandpa,Lionsgate,35593113.0,2016-01-22,2016-03-31
Q1 2016,10802,The 5th Wave,Sony Pictures Releasing,34916787.0,2016-01-22,2016-03-31
Q1 2016,10805,Gods of Egypt,Lionsgate,31153464.0,2016-02-26,2016-03-31
Q1 2016,10809,"Hail, Caesar!",Universal Pictures,30080225.0,2016-02-05,2016-03-31
Q1 2016,10811,Zoolander 2,Paramount Pictures,28848693.0,2016-02-12,2016-03-31
Q1 2016,10816,The Forest,Focus Features,26594261.0,2016-01-08,2016-03-31
Q1 2016,10819,The Finest Hours,Walt Disney Studios Motion Pictures,25919859.0,2016-01-29,2016-03-31
Q1 2016,10823,Whiskey Tango Foxtrot,Paramount Pictures,23083334.0,2016-03-04,2016-03-31
Q1 2016,10824,The Witch,A24,22914150.0,2016-02-19,2016-03-31
Q1 2016,10833,Race,Focus Features,19206207.0,2016-02-19,2016-03-31
Q1 2016,10835,The Choice,Lionsgate,18730891.0,2016-02-05,2016-03-31
Q1 2016,10836,Eye in the Sky,Bleecker Street Media,18704595.0,2016-03-11,2016-03-31
Q1 2016,10840,Norm of the North,Lionsgate,17062499.0,2016-01-15,2016-03-31
Q1 2016,10843,Eddie the Eagle,Twentieth Century Fox,15739131.0,2016-02-26,2016-03-31
Q1 2016,10847,"Hello, My Name Is Doris",Roadside Attractions,14444999.0,2016-03-11,2016-03-31
Q1 2016,10852,Triple 9,Open Road Films (II),12639297.0,2016-02-26,2016-03-31
Q1 2016,10856,Fifty Shades of Black,Open Road Films (II),11686940.0,2016-01-29,2016-03-31
Q1 2016,10859,Pride and Prejudice and Zombies,Screen Gems,10938134.0,2016-02-05,2016-03-31
Q1 2016,10865,The Perfect Match,Lionsgate,9669521.0,2016-03-11,2016-03-31
Q1 2016,10878,The Brothers Grimsby,Sony Pictures Releasing,6874837.0,2016-03-11,2016-03-31
Q1 2016,10880,The Young Messiah,Focus Features,6490401.0,2016-03-11,2016-03-31
Q1 2016,10900,Where to Invade Next,Drafthouse Films,3827261.0,2016-02-12,2016-03-31
Q1 2016,10901,Midnight Special,Warner Bros.,3712282.0,2016-03-18,2016-03-31
Q1 2016,10906,Everybody Wants Some!!,Paramount Pictures,3400278.0,2016-03-30,2016-03-31
Q1 2016,10910,Mei ren yu,Sony Pictures Releasing,3232685.0,2016-02-19,2016-03-31
Q1 2016,10916,The Other Side of the Door,Twentieth Century Fox,2868200.0,2016-03-04,2016-03-31
Q1 2016,10917,The Oscar Nominated Short Films 2016: Live Action,Shorts International,2816816.0,2016-01-29,2016-03-31
Q1 2016,10920,Kapoor & Sons,FIP,2445815.0,2016-03-18,2016-03-31
Q1 2016,10944,I Saw the Light,Sony Pictures Classics,1646788.0,2016-03-25,2016-03-31
Q1 2016,10946,Neerja,FIP,1585687.0,2016-02-19,2016-03-31
Q1 2016,10947,Jane Got a Gun,The Weinstein Company,1513793.0,2016-01-29,2016-03-31
Q1 2016,10951,The Little Prince,Entertainment One,1339152.0,2016-02-12,2016-03-31
Q1 2016,10958,Lazer Team,Amplify,1186426.0,2016-01-27,2016-03-31
Q1 2016,10960,Wazir,Reliance Big Pictures,1124045.0,2016-01-08,2016-03-31
Q1 2016,10971,Patterns of Evidence: Exodus,Thinking Man Films,925576.0,2016-01-19,2016-03-31
Q1 2016,10981,The Monkey King 2,China Lion Film Distribution,709982.0,2016-02-05,2016-03-31
Q1 2016,10985,Born to Be Blue2016 Re-release,IFC Films,678203.0,2016-03-25,2016-03-31
Q1 2016,10989,Remember2016 Re-release,A24,637555.0,2016-03-11,2016-03-31
Q1 2016,10999,Obsession,UTV Motion Pictures,528799.0,2016-02-12,2016-03-31
Q1 2016,11003,The Boy and the Beast,FUNimation Entertainment,490643.0,2016-03-04,2016-03-31
Q1 2016,11005,Detective Chinatown,China Lion Film Distribution,474252.0,2016-01-15,2016-03-31
Q1 2016,11008,Only Yesterday2016 Re-release,GKIDS,453243.0,2016-01-01,2016-03-31
Q1 2016,11012,Mad Max: Fury Road2016 Re-release,Warner Bros.,421986.0,2016-01-15,2016-03-31
Q1 2016,11022,April and the Extraordinary World,GKIDS,295488.0,2016-03-25,2016-03-31
Q1 2016,11029,My Golden Days,Magnolia Pictures,269144.0,2016-03-18,2016-03-31
Q1 2016,11043,Ho Mann Jahaan,Eros International,208611.0,2016-01-01,2016-03-31
Q1 2016,11048,The Masked Saint,Freestyle Releasing,182695.0,2016-01-08,2016-03-31
Q1 2016,11053,The Wave,Magnolia Pictures,177404.0,2016-03-04,2016-03-31
Q1 2016,11062,Born to Be Blue,Entertainment One,151926.0,2016-03-04,2016-03-31
Q1 2016,11064,Touched with Fire,Roadside Attractions,146487.0,2016-02-12,2016-03-31
Q1 2016,11065,Krisha,A24,144822.0,2016-03-18,2016-03-31
Q1 2016,11066,Psycho-Pass: The Movie,FUNimation Entertainment,138366.0,2016-03-15,2016-03-31
Q1 2016,11069,Tumbledown,Starz Digital Media,135026.0,2016-02-05,2016-03-31
Q1 2016,11071,Under the Sea 3D,Warner Bros.,36223935.0,2016-02-13,2016-03-31
Q1 2016,11073,Spirits' Homecoming,Pan Media & Entertainment,125616.0,2016-03-11,2016-03-31
Q1 2016,11074,A War,Magnolia Pictures,122902.0,2016-02-12,2016-03-31
Q1 2016,11078,Caged No More,Freestyle Releasing,114959.0,2016-01-22,2016-03-31
Q1 2016,11088,Dictator,Eros International,104734.0,2016-01-13,2016-03-31
Q1 2016,11098,Requiem for the American Dream,The Film Collaborative,130152.0,2016-01-29,2016-03-31
Q1 2016,11104,The Clan,FIP,90767.0,2016-03-18,2016-03-31
Q1 2016,11106,Marguerite,Cohen Media Group,506677.0,2016-03-11,2016-03-31
Q1 2016,11116,Saala Khadoos,UTV Motion Pictures,76931.0,2016-01-29,2016-03-31
Q1 2016,11123,Fireworks Wednesday2016 Re-release,Grasshopper Film,88581.0,2016-03-18,2016-03-31
Q1 2016,11127,Trapped,Abramorama,63241.0,2016-03-04,2016-03-31
Q1 2016,11128,Creative Control,Magnolia Pictures,63014.0,2016-03-11,2016-03-31
Q1 2016,11130,Deep Sea,Warner Bros.,46403478.0,2016-03-03,2016-03-31
Q1 2016,11144,The Club,Music Box Films,52761.0,2016-02-05,2016-03-31
Q1 2016,11147,Like for Likes,CJ Entertainment,50839.0,2016-02-26,2016-03-31
Q1 2016,11153,Rams,Cohen Media Group,139025.0,2016-02-03,2016-03-31
Q1 2016,11162,A Melody to Remember,CJ Entertainment,44263.0,2016-01-29,2016-03-31
Q1 2016,11167,Mastizaade,Eros International,43403.0,2016-01-29,2016-03-31
Q1 2016,11177,Chimes at Midnight,Janus Films,108613.0,2016-01-01,2016-03-31
Q1 2016,11178,Trust Fund,Transatlantic,36885.0,2016-01-08,2016-03-31
Q1 2016,11179,Until Forever,Linn Productions,35839.0,2016-02-12,2016-03-31
Q1 2016,11189,Monster Hunt,FilmRise,32766.0,2016-01-22,2016-03-31
