season,Unnamed: 0,movie,studio,gross,release,time
Q1 2002,1905,Ice Age,Twentieth Century Fox,176387405.0,2002-03-15,2002-03-31
Q1 2002,1922,Panic Room,Sony Pictures Releasing,96397334.0,2002-03-29,2002-03-31
Q1 2002,1925,Blade II,New Line Cinema,82348319.0,2002-03-22,2002-03-31
Q1 2002,1926,Snow Dogs,Walt Disney Studios Motion Pictures,81172560.0,2002-01-18,2002-03-31
Q1 2002,1927,The Rookie,Walt Disney Studios Motion Pictures,74212579.0,2002-03-29,2002-03-31
Q1 2002,1928,John Q,New Line Cinema,71756802.0,2002-02-15,2002-03-31
Q1 2002,1930,We Were Soldiers,Paramount Pictures,72440279.0,2002-03-01,2002-03-31
Q1 2002,1939,The Time Machine,DreamWorks Distribution,56832494.0,2002-03-08,2002-03-31
Q1 2002,1941,The Count of Monte Cristo,Walt Disney Studios Motion Pictures,52244244.0,2002-01-25,2002-03-31
Q1 2002,1946,Peter Pan 2: Return to Never Land,Walt Disney Studios Motion Pictures,48430258.0,2002-02-15,2002-03-31
Q1 2002,1947,Big Fat Liar,Universal Pictures,48360547.0,2002-02-08,2002-03-31
Q1 2002,1952,A Walk to Remember,Warner Bros.,41281092.0,2002-01-25,2002-03-31
Q1 2002,1956,Resident Evil,Screen Gems,40119709.0,2002-03-15,2002-03-31
Q1 2002,1957,Collateral Damage,Warner Bros.,40077257.0,2002-02-08,2002-03-31
Q1 2002,1962,Showtime,Warner Bros.,38082712.0,2002-03-15,2002-03-31
Q1 2002,1963,40 Days and 40 Nights,Miramax,37950822.0,2002-03-01,2002-03-31
Q1 2002,1964,Crossroads,Paramount Pictures,37191304.0,2002-02-15,2002-03-31
Q1 2002,1965,Clockstoppers,Paramount Pictures,36989956.0,2002-03-29,2002-03-31
Q1 2002,1966,Orange County,Paramount Pictures,41076018.0,2002-01-11,2002-03-31
Q1 2002,1968,E.T. the Extra-Terrestrial20th Anniversary,Universal Pictures,35306015.0,2002-03-22,2002-03-31
Q1 2002,1971,The Mothman Prophecies,Screen Gems,35746370.0,2002-01-25,2002-03-31
Q1 2002,1978,Queen of the Damned,Warner Bros.,30336800.0,2002-02-22,2002-03-31
Q1 2002,1979,Dragonfly,Universal Pictures,30323400.0,2002-02-22,2002-03-31
Q1 2002,1989,All About the Benjamins,New Line Cinema,25916319.0,2002-03-08,2002-03-31
Q1 2002,2004,Hart's War,Metro-Goldwyn-Mayer (MGM),19077641.0,2002-02-15,2002-03-31
Q1 2002,2005,Super Troopers,Fox Searchlight Pictures,18492362.0,2002-02-15,2002-03-31
Q1 2002,2013,Kung Pow: Enter the Fist,Twentieth Century Fox,16037962.0,2002-01-25,2002-03-31
Q1 2002,2016,The Next Best Thing,Paramount Pictures,14990582.0,2002-03-03,2002-03-31
Q1 2002,2017,Rollerball,Metro-Goldwyn-Mayer (MGM),18990798.0,2002-02-08,2002-03-31
