season,Unnamed: 0,movie,studio,gross,release,time
Q1 2014,9268,The Lego Movie,Warner Bros.,257760692.0,2014-02-07,2014-03-31
Q1 2014,9283,Divergent,Lionsgate,150947895.0,2014-03-21,2014-03-31
Q1 2014,9286,Ride Along,Universal Pictures,134938200.0,2014-01-17,2014-03-31
Q1 2014,9291,Mr. Peabody & Sherman,Twentieth Century Fox,111453785.0,2014-03-07,2014-03-31
Q1 2014,9292,300: Rise of an Empire,Warner Bros.,106580051.0,2014-03-07,2014-03-31
Q1 2014,9294,Noah,Paramount Pictures,101200044.0,2014-03-28,2014-03-31
Q1 2014,9297,Non-Stop,Universal Pictures,92168600.0,2014-02-28,2014-03-31
Q1 2014,9306,The Monuments Men,Sony Pictures Releasing,78031620.0,2014-02-07,2014-03-31
Q1 2014,9313,The Nut Job,Open Road Films (II),64251541.0,2014-01-17,2014-03-31
Q1 2014,9317,God's Not Dead,Freestyle Releasing,60755732.0,2014-03-21,2014-03-31
Q1 2014,9318,Son of God,Twentieth Century Fox,59685208.0,2014-02-28,2014-03-31
Q1 2014,9319,The Grand Budapest Hotel,Fox Searchlight Pictures,59301324.0,2014-03-07,2014-03-31
Q1 2014,9320,RoboCop,Sony Pictures Releasing,58607007.0,2014-02-12,2014-03-31
Q1 2014,9330,Jack Ryan: Shadow Recruit,Paramount Pictures,50577412.0,2014-01-17,2014-03-31
Q1 2014,9334,Muppets Most Wanted,Walt Disney Studios Motion Pictures,48845027.0,2014-03-21,2014-03-31
Q1 2014,9335,About Last Night,Screen Gems,48637684.0,2014-02-14,2014-03-31
Q1 2014,9344,Need for Speed,Walt Disney Studios Motion Pictures,42354883.0,2014-03-14,2014-03-31
Q1 2014,9354,Paranormal Activity: The Marked Ones,Paramount Pictures,32462372.0,2014-01-03,2014-03-31
Q1 2014,9358,3 Days to Kill,Relativity Media,30697999.0,2014-02-21,2014-03-31
Q1 2014,9367,That Awkward Moment,Focus Features,26068955.0,2014-01-31,2014-03-31
Q1 2014,9371,Endless Love,Universal Pictures,23438250.0,2014-02-14,2014-03-31
Q1 2014,9382,"I, Frankenstein",Lionsgate,19075290.0,2014-01-24,2014-03-31
Q1 2014,9384,The Legend of Hercules,Lionsgate,18848538.0,2014-01-10,2014-03-31
Q1 2014,9391,The Single Moms Club,Lionsgate,15973881.0,2014-03-14,2014-03-31
Q1 2014,9392,Devil's Due,Twentieth Century Fox,15785335.0,2014-01-17,2014-03-31
Q1 2014,9401,Labor Day,Paramount Pictures,13371528.0,2014-01-31,2014-03-31
Q1 2014,9402,Winter's Tale,Warner Bros.,12600231.0,2014-02-14,2014-03-31
Q1 2014,9409,Sabotage,Open Road Films (II),10508518.0,2014-03-28,2014-03-31
Q1 2014,9416,Vampire Academy,The Weinstein Company,7791979.0,2014-02-07,2014-03-31
Q1 2014,9417,Bad Words,Focus Features,7779614.0,2014-03-14,2014-03-31
Q1 2014,9425,Cesar Chavez2014 Re-release,Lionsgate,5571497.0,2014-03-28,2014-03-31
Q1 2014,9428,Hubble 3D,Warner Bros.,52503602.0,2014-03-19,2014-03-31
Q1 2014,9433,The Wind Rises2013 Re-release,Walt Disney Studios Motion Pictures,4342709.0,2014-02-21,2014-03-31
Q1 2014,9434,The Lunchbox2013 Re-release,Sony Pictures Classics,4235151.0,2014-02-28,2014-03-31
Q1 2014,9442,Veronica Mars,Warner Bros.,3322127.0,2014-03-14,2014-03-31
