season,Unnamed: 0,movie,studio,gross,release,time
Q1 1997,741,Liar Liar,Universal Pictures,181410615.0,1997-03-21,1997-03-31
Q1 1997,751,Star Wars: Episode IV - A New Hope1997 Special Edition,Twentieth Century Fox,138257865.0,1997-01-31,1997-03-31
Q1 1997,755,Absolute Power,Sony Pictures Releasing,50068310.0,1997-02-14,1997-03-31
Q1 1997,761,Fools Rush In,Sony Pictures Releasing,29481428.0,1997-02-14,1997-03-31
Q1 1997,782,Kama Sutra: A Tale of Love,Trimark Pictures,4109095.0,1997-02-28,1997-03-31
Q1 1997,783,Kolya,Miramax,5770254.0,1997-01-17,1997-03-31
Q1 1997,791,Smilla's Sense of Snow,Fox Searchlight Pictures,2372903.0,1997-02-28,1997-03-31
Q1 1997,802,The Daytrippers,Sony Pictures Releasing,2099677.0,1997-03-05,1997-03-31
Q1 1997,803,Waiting for Guffman,Sony Pictures Classics,2923982.0,1997-01-31,1997-03-31
Q1 1997,806,Fargo,Gramercy Pictures (I),24611975.0,1997-03-08,1997-03-31
Q1 1997,810,The Eighth Day,Gramercy Pictures (I),416401.0,1997-03-07,1997-03-31
Q1 1997,814,Love and Other Catastrophes,Fox Searchlight Pictures,294212.0,1997-03-28,1997-03-31
Q1 1997,816,Prisoner of the Mountains,Orion Classics,790078.0,1997-01-31,1997-03-31
Q1 1997,822,Boys Life 2,Strand Releasing,532654.0,1997-03-07,1997-03-31
Q1 1997,839,The Substance of Fire,Miramax,31638.0,1997-03-14,1997-03-31
Q1 1997,840,Johns,First Look International,50789.0,1997-01-31,1997-03-31
Q1 1997,842,Troublesome Creek: A Midwestern,Artistic License,140000.0,1997-01-03,1997-03-31
Q1 1997,848,Koyla,Miramax,37795.0,1997-01-24,1997-03-31
Q2 1997,740,The Lost World: Jurassic Park,Universal Pictures,229086679.0,1997-05-23,1997-06-30
Q2 1997,744,Batman & Robin,Warner Bros.,107325195.0,1997-06-20,1997-06-30
Q2 1997,745,Con Air,Walt Disney Studios Motion Pictures,101117573.0,1997-06-06,1997-06-30
Q2 1997,750,The Fifth Element,Sony Pictures Releasing,63820180.0,1997-05-09,1997-06-30
Q2 1997,773,Chasing Amy,Miramax,12021272.0,1997-04-04,1997-06-30
Q2 1997,777,Ulee's Gold,Metro-Goldwyn-Mayer (MGM),9161691.0,1997-06-13,1997-06-30
Q2 1997,778,Hercules,Walt Disney Studios Motion Pictures,99112101.0,1997-06-15,1997-06-30
Q2 1997,781,Anaconda,Sony Pictures Releasing,65885767.0,1997-04-11,1997-06-30
Q2 1997,794,The Saint,Paramount Pictures,61363304.0,1997-04-04,1997-06-30
Q2 1997,800,Brassed Off,Miramax,2576331.0,1997-05-23,1997-06-30
Q2 1997,801,Children of the Revolution,Miramax,838368.0,1997-05-01,1997-06-30
Q2 1997,804,The Van,Fox Searchlight Pictures,712095.0,1997-05-16,1997-06-30
Q2 1997,805,Temptress Moon,Miramax,1100788.0,1997-06-13,1997-06-30
Q2 1997,811,Dream with the Fishes,Sony Pictures Classics,543708.0,1997-06-20,1997-06-30
Q2 1997,813,Anna Karenina,Warner Bros.,858553.0,1997-04-04,1997-06-30
Q2 1997,817,A Chef in Love,Sony Pictures Classics,686704.0,1997-04-23,1997-06-30
Q2 1997,819,Das Boot1997 Director's Cut,Sony Pictures Releasing,572426.0,1997-04-04,1997-06-30
Q2 1997,820,Hollow Reed,Lionsgate,265732.0,1997-04-18,1997-06-30
Q2 1997,821,Rough Magic,The Samuel Goldwyn Company,247202.0,1997-05-30,1997-06-30
Q2 1997,828,Roseanna's Grave,Fine Line Features,123330.0,1997-06-18,1997-06-30
Q2 1997,829,Flamenco,New Yorker Films,480941.0,1997-04-25,1997-06-30
Q2 1997,835,Bliss,Triumph Releasing Corporation,294064.0,1997-06-06,1997-06-30
Q2 1997,838,Irma Vep,Zeitgeist Films,282310.0,1997-04-30,1997-06-30
Q2 1997,844,Nowhere,Fine Line Features,194201.0,1997-05-09,1997-06-30
Q2 1997,847,Twin Town,Gramercy Pictures (I),127923.0,1997-05-09,1997-06-30
Q2 1997,858,Childhood's End,Plainview Pictures,3804.0,1997-04-04,1997-06-30
Q3 1997,739,Men in Black,Sony Pictures Releasing,250690539.0,1997-07-02,1997-09-30
Q3 1997,742,Air Force One,Sony Pictures Releasing,172956409.0,1997-07-25,1997-09-30
Q3 1997,757,The Peacemaker,DreamWorks Distribution,41263140.0,1997-09-26,1997-09-30
Q3 1997,759,L.A. Confidential,Warner Bros.,64616940.0,1997-09-19,1997-09-30
Q3 1997,760,The Full Monty,Fox Searchlight Pictures,45950122.0,1997-08-15,1997-09-30
Q3 1997,770,Secrets & Lies,October Films,13417292.0,1997-09-28,1997-09-30
Q3 1997,790,The Ice Storm,Fox Searchlight Pictures,8038061.0,1997-09-27,1997-09-30
Q3 1997,792,Mrs Brown,Miramax,9229808.0,1997-07-18,1997-09-30
Q3 1997,807,In the Company of Men,Sony Pictures Classics,2804473.0,1997-08-01,1997-09-30
Q3 1997,808,Career Girls,October Films,2416734.0,1997-08-08,1997-09-30
Q3 1997,812,Guantanamera,Lionsgate,903840.0,1997-07-04,1997-09-30
Q3 1997,825,Paperback Romance,Metro-Goldwyn-Mayer (MGM),151068.0,1997-08-15,1997-09-30
Q3 1997,826,The Myth of Fingerprints,Sony Pictures Classics,523025.0,1997-09-17,1997-09-30
Q3 1997,833,Latin Boys Go to Hell,Strand Releasing,199033.0,1997-09-05,1997-09-30
Q3 1997,834,Different for Girls,First Look International,300645.0,1997-09-12,1997-09-30
Q3 1997,851,Going All the Way,Gramercy Pictures (I),113069.0,1997-09-19,1997-09-30
Q3 1997,854,Independence Day,Twentieth Century Fox,306169268.0,1997-07-03,1997-09-30
Q3 1997,860,Trojan War,Warner Bros.,309.0,1997-09-26,1997-09-30
Q4 1997,743,Titanic,Paramount Pictures,600788188.0,1997-12-19,1997-12-31
Q4 1997,746,Jerry Maguire,Sony Pictures Releasing,153952592.0,1997-12-13,1997-12-31
Q4 1997,747,Flubber,Walt Disney Studios Motion Pictures,92977226.0,1997-11-26,1997-12-31
Q4 1997,748,Tomorrow Never Dies,Metro-Goldwyn-Mayer (MGM),125304276.0,1997-12-19,1997-12-31
Q4 1997,749,Scream 2,Dimension Films,101363301.0,1997-12-12,1997-12-31
Q4 1997,752,The Devil's Advocate,Warner Bros.,60944660.0,1997-10-17,1997-12-31
Q4 1997,753,Starship Troopers,Sony Pictures Releasing,54814377.0,1997-11-07,1997-12-31
Q4 1997,754,Anastasia,Twentieth Century Fox,58406347.0,1997-11-14,1997-12-31
