season,Unnamed: 0,movie,studio,gross,release,time
Q1 2009,6060,Monsters vs. Aliens,DreamWorks,198351526.0,2009-03-27,2009-03-31
Q1 2009,6069,Paul Blart: Mall Cop,Sony Pictures Releasing,146336178.0,2009-01-16,2009-03-31
Q1 2009,6070,Taken,Twentieth Century Fox,144966929.0,2009-01-30,2009-03-31
Q1 2009,6083,Watchmen,Warner Bros.,107509799.0,2009-03-06,2009-03-31
Q1 2009,6086,He's Just Not That Into You,Warner Bros.,93953653.0,2009-02-06,2009-03-31
Q1 2009,6088,Madea Goes to Jail,Lionsgate,90508336.0,2009-02-20,2009-03-31
Q1 2009,6090,Knowing2009 Re-release,Summit Entertainment,79957634.0,2009-03-20,2009-03-31
Q1 2009,6095,Coraline,Focus Features,75286229.0,2009-02-06,2009-03-31
Q1 2009,6097,Hotel for Dogs,DreamWorks,73034460.0,2009-01-16,2009-03-31
Q1 2009,6100,"I Love You, Man",DreamWorks,71440011.0,2009-03-20,2009-03-31
Q1 2009,6104,Friday the 13th,Warner Bros.,65002019.0,2009-02-13,2009-03-31
Q1 2009,6107,Race to Witch Mountain,Walt Disney Studios Motion Pictures,65402038.0,2009-03-13,2009-03-31
Q1 2009,6110,Bride Wars,Twentieth Century Fox,58707170.0,2009-01-09,2009-03-31
Q1 2009,6111,The Haunting in Connecticut2009 Re-release,Lionsgate,55389516.0,2009-03-27,2009-03-31
Q1 2009,6116,My Bloody Valentine,Lionsgate,51545952.0,2009-01-16,2009-03-31
Q1 2009,6120,Underworld: Rise of the Lycans,Screen Gems,45802315.0,2009-01-23,2009-03-31
Q1 2009,6121,Confessions of a Shopaholic,Walt Disney Studios Motion Pictures,43207333.0,2009-02-13,2009-03-31
Q1 2009,6123,The Unborn,Universal Pictures,42670410.0,2009-01-09,2009-03-31
Q1 2009,6128,Duplicity,Universal Pictures,40572825.0,2009-03-20,2009-03-31
Q1 2009,6135,Notorious,Fox Searchlight Pictures,36822061.0,2009-01-16,2009-03-31
Q1 2009,6136,The Pink Panther 2,Sony Pictures Releasing,35922978.0,2009-02-06,2009-03-31
Q1 2009,6141,The Last House on the Left,Universal Pictures,32752215.0,2009-03-13,2009-03-31
