season,Unnamed: 0,movie,studio,gross,release,time
Q1 2017,11460,Beauty and the Beast,Walt Disney Studios Motion Pictures,504014165.0,2017-03-17,2017-03-31
Q1 2017,11467,Logan,Twentieth Century Fox,226258569.0,2017-03-03,2017-03-31
Q1 2017,11472,The Lego Batman Movie,Warner Bros.,175750384.0,2017-02-10,2017-03-31
Q1 2017,11473,Get Out,Universal Pictures,176040665.0,2017-02-24,2017-03-31
Q1 2017,11474,The Boss Baby,Twentieth Century Fox,175003033.0,2017-03-31,2017-03-31
Q1 2017,11477,Kong: Skull Island,Warner Bros.,168052812.0,2017-03-10,2017-03-31
Q1 2017,11481,Split,Universal Pictures,138141585.0,2017-01-20,2017-03-31
Q1 2017,11488,Fifty Shades Darker,Universal Pictures,114434010.0,2017-02-10,2017-03-31
Q1 2017,11494,John Wick: Chapter 2,Lionsgate,92029184.0,2017-02-10,2017-03-31
Q1 2017,11497,Power Rangers,Lionsgate,85364450.0,2017-03-24,2017-03-31
Q1 2017,11503,A Dog's Purpose,Universal Pictures,64321890.0,2017-01-27,2017-03-31
Q1 2017,11507,The Shack,Lionsgate,57386418.0,2017-03-03,2017-03-31
Q1 2017,11517,The Great Wall,Universal Pictures,45157105.0,2017-02-17,2017-03-31
Q1 2017,11520,xXx: Return of Xander Cage,Paramount Pictures,44898413.0,2017-01-20,2017-03-31
Q1 2017,11526,Ghost in the Shell,Paramount Pictures,40563557.0,2017-03-31,2017-03-31
Q1 2017,11536,Monster Trucks,Paramount Pictures,33370166.0,2017-01-13,2017-03-31
Q1 2017,11537,Fist Fight,Warner Bros.,32187017.0,2017-02-17,2017-03-31
Q1 2017,11543,Underworld: Blood Wars,Screen Gems,30353973.0,2017-01-06,2017-03-31
Q1 2017,11545,Life,Sony Pictures Releasing,30234022.0,2017-03-24,2017-03-31
Q1 2017,11548,Rings,Paramount Pictures,27793018.0,2017-02-03,2017-03-31
Q1 2017,11551,Resident Evil: The Final Chapter,Screen Gems,26830068.0,2017-01-27,2017-03-31
Q1 2017,11555,The Bye Bye Man,STX Entertainment,22395806.0,2017-01-13,2017-03-31
Q1 2017,11560,Sleepless,Open Road Films (II),20783704.0,2017-01-13,2017-03-31
Q1 2017,11565,CHIPS,Warner Bros.,18600152.0,2017-03-24,2017-03-31
Q1 2017,11571,The Zookeeper's Wife,Focus Features,17445186.0,2017-03-31,2017-03-31
Q1 2017,11584,The Founder,The Weinstein Company,12786053.0,2017-01-19,2017-03-31
Q1 2017,11587,Before I Fall,Open Road Films (II),12241122.0,2017-03-03,2017-03-31
Q1 2017,11593,The Belko Experiment,BH Tilt,10166820.0,2017-03-17,2017-03-31
Q1 2017,11596,Rock Dog,Lionsgate,9420546.0,2017-02-24,2017-03-31
Q1 2017,11600,A Cure for Wellness,Twentieth Century Fox,8077739.0,2017-02-17,2017-03-31
Q1 2017,11601,The Space Between Us,STX Entertainment,7885294.0,2017-02-03,2017-03-31
Q1 2017,11603,Gold,The Weinstein Company,7227038.0,2017-01-27,2017-03-31
Q1 2017,11628,A United Kingdom,Fox Searchlight Pictures,3803698.0,2017-02-10,2017-03-31
Q1 2017,11633,Table 19,Fox Searchlight Pictures,3600071.0,2017-03-03,2017-03-31
Q1 2017,11641,Leap!,Entertainment One,2844490.0,2017-02-24,2017-03-31
Q1 2017,11647,Is Genesis History?,Fathom Events,2570392.0,2017-02-23,2017-03-31
Q1 2017,11648,Disney's Newsies: The Broadway Musical!,Fathom Events,2545060.0,2017-02-18,2017-03-31
Q1 2017,11656,The Resurrection of Gavin Stone,BH Tilt,2303792.0,2017-01-20,2017-03-31
Q1 2017,11658,Collide,Open Road Films (II),2280004.0,2017-02-24,2017-03-31
Q1 2017,11664,Badrinath Ki Dulhania,FIP,1934699.0,2017-03-10,2017-03-31
Q1 2017,11670,The Last Word,Bleecker Street Media,1783421.0,2017-03-03,2017-03-31
Q1 2017,11679,Jolly LLB 2,FIP,1554222.0,2017-02-10,2017-03-31
Q1 2017,11681,Sword Art Online The Movie: Ordinal Scale,Eleven Arts,1520350.0,2017-03-09,2017-03-31
Q1 2017,11686,The Sense of an Ending,CBS Films,1274420.0,2017-03-10,2017-03-31
Q1 2017,11698,Yu-Gi-Oh!: The Dark Side of Dimensions,Screenvision,1009582.0,2017-01-27,2017-03-31
Q1 2017,11702,The Women's Balcony,Menemsha Films,1200885.0,2017-03-03,2017-03-31
Q1 2017,11703,Frantz,Music Box Films,880883.0,2017-03-15,2017-03-31
Q1 2017,11704,Journey to the West: The Demons Strike Back,Sony Pictures Releasing,880346.0,2017-02-03,2017-03-31
Q1 2017,11709,George Takei's Allegiance,Fathom Events,784850.0,2017-02-19,2017-03-31
Q1 2017,11717,The Devotion of Suspect X,China Lion Film Distribution,686435.0,2017-03-31,2017-03-31
Q1 2017,11720,Wilson,Fox Searchlight Pictures,651219.0,2017-03-24,2017-03-31
Q1 2017,11728,Bitter Harvest,Roadside Attractions,557241.0,2017-02-24,2017-03-31
Q1 2017,11737,Raw,Focus World,514870.0,2017-03-10,2017-03-31
Q1 2017,11740,The Salesman,Cohen Media Group,2402067.0,2017-01-27,2017-03-31
Q1 2017,11742,Phillauri,FIP,467596.0,2017-03-24,2017-03-31
Q1 2017,11744,Sailor Moon R: The Movie: The Promise of the Rose,Eleven Arts,452053.0,2017-01-19,2017-03-31
Q1 2017,11745,Song to Song,Broad Green Pictures,443684.0,2017-03-17,2017-03-31
