season,Unnamed: 0,movie,studio,gross,release,time
Q2 2016,10722,Captain America: Civil War,Walt Disney Studios Motion Pictures,408084349,2016/5/6,2016/6/30
Q3 2011,7233,Captain America: The First Avenger,Paramount Pictures,176654505,2011/7/22,2011/9/30
Q2 2014,9269,Captain America: The Winter Soldier,Walt Disney Studios Motion Pictures,255447104,2014/4/4,2014/6/30
Q2 2006,4103,Cars,Walt Disney Studios Motion Pictures,244082982,2006/6/9,2006/6/30
Q2 2011,7231,Cars 2,Walt Disney Studios Motion Pictures,191393981,2011/6/24,2011/6/30
Q4 2006,4110,Casino Royale,Sony Pictures Releasing,167007184,2006/11/17,2006/12/31
Q2 1995,522,Casper,Universal Pictures,100328194,1995/5/26,1995/6/30
Q4 2000,1331,Cast Away,Twentieth Century Fox,233632142,2000/12/22,2000/12/31
Q4 2002,1936,Catch Me If You Can,DreamWorks Distribution,164529436,2002/12/25,2002/12/31
Q3 2005,3534,Charlie and the Chocolate Factory,Warner Bros.,206459076,2005/7/15,2005/9/30
Q4 2003,2392,Cheaper by the Dozen,Twentieth Century Fox,138608443,2003/12/25,2003/12/31
Q4 2002,2074,Chicago,Miramax,169508422,2002/12/27,2002/12/31
Q4 2005,3543,Chicken Little,Walt Disney Studios Motion Pictures,132519980,2005/11/4,2005/12/31
Q1 2015,10023,Cinderella,Walt Disney Studios Motion Pictures,197998802,2015/3/13,2015/3/31
Q2 2006,4112,Click,Revolution Studios,137355633,2006/6/23,2006/6/30
Q4 2017,11471,Coco,Walt Disney Studios Motion Pictures,209726015,2017/11/22,2017/12/31
Q2 1997,745,Con Air,Walt Disney Studios Motion Pictures,101117573,1997/6/6,1997/6/30
Q4 1993,332,Cool Runnings,Walt Disney Studios Motion Pictures,68856263,1993/10/1,1993/12/31
Q4 2000,1416,"Crouching Tiger, Hidden Dragon",Sony Pictures Classics,128078872,2000/12/8,2000/12/31
Q4 1990,75,Dances with Wolves,Orion Pictures,184208848,1990/11/9,1990/12/31
Q3 2014,9273,Dawn of the Planet of the Apes,Twentieth Century Fox,208490841,2014/7/11,2014/9/30
Q1 2016,10725,Deadpool,Twentieth Century Fox,363042311,2016/2/12,2016/3/31
Q2 2018,12237,Deadpool 2,Twentieth Century Fox,318491426,2018/5/18,2018/6/30
