,season,Unnamed: 0,movie,studio,gross,release,time,quarter,year
102,Q4 1994,417.0,Dumb and Dumber,New Line Cinema,127175374.0,1994/12/16,1994/12/31,Q4,1994
397,Q4 1994,411.0,The Santa Clause,Walt Disney Studios Motion Pictures,144833357.0,1994/11/11,1994/12/31,Q4,1994
260,Q4 1994,415.0,Pulp Fiction,Miramax,107928762.0,1994/10/14,1994/12/31,Q4,1994
378,Q3 1994,439.0,The Mask,New Line Cinema,119938730.0,1994/7/29,1994/9/30,Q3,1994
212,Q2 1994,437.0,Maverick,Warner Bros.,101631272.0,1994/5/20,1994/6/30,Q2,1994
95,Q4 1994,420.0,Disclosure,Warner Bros.,83015089.0,1994/12/9,1994/12/31,Q4,1994
348,Q2 1994,410.0,The Flintstones,Universal Pictures,130531208.0,1994/5/27,1994/6/30,Q2,1994
46,Q2 1995,518.0,Batman Forever,Warner Bros.,184031112.0,1995/6/16,1995/6/30,Q2,1995
117,Q3 1995,539.0,Forrest Gump,Paramount Pictures,329694499.0,1995/7/6,1995/9/30,Q3,1995
368,Q2 1995,532.0,The Lion King,Walt Disney Studios Motion Pictures,312855561.0,1995/6/15,1995/6/30,Q2,1995
418,Q4 1995,520.0,Toy Story,Walt Disney Studios Motion Pictures,191796233.0,1995/11/22,1995/12/31,Q4,1995
72,Q2 1995,522.0,Casper,Universal Pictures,100328194.0,1995/5/26,1995/6/30,Q2,1995
258,Q2 1995,558.0,Pocahontas,Walt Disney Studios Motion Pictures,141579773.0,1995/6/16,1995/6/30,Q2,1995
184,Q4 1995,527.0,Jumanji,Sony Pictures Releasing,100475249.0,1995/12/15,1995/12/31,Q4,1995
129,Q4 1995,523.0,GoldenEye,Metro-Goldwyn-Mayer (MGM),106429941.0,1995/11/17,1995/12/31,Q4,1995
11,Q4 1995,521.0,Ace Ventura: When Nature Calls,Warner Bros.,108385533.0,1995/11/10,1995/12/31,Q4,1995
27,Q2 1995,519.0,Apollo 13,Universal Pictures,172071312.0,1995/6/30,1995/6/30,Q2,1995
171,Q3 1996,625.0,Independence Day,Twentieth Century Fox,306169268.0,1996/7/3,1996/9/30,Q3,1996
2,Q4 1996,631.0,101 Dalmatians,Walt Disney Studios Motion Pictures,136189294.0,1996/11/27,1996/12/31,Q4,1996
222,Q2 1996,626.0,Mission: Impossible,Paramount Pictures,180981856.0,1996/5/22,1996/6/30,Q2,1996
278,Q4 1996,647.0,Scream,Dimension Films,103046663.0,1996/12/20,1996/12/31,Q4,1996
181,Q4 1996,634.0,Jerry Maguire,Sony Pictures Releasing,153952592.0,1996/12/13,1996/12/31,Q4,1996
